cLabel,cArea,cVolum,cPerim,cFeret,cMajor,cMinor,cSolid,cRound,cCircl,cY,cX,csRatio,csDist,c_sLabel
232,9088.000,651727.847,352.534,111.086,108.165,106.983,0.979,0.989,0.919,1494.000,2558.000,0.726,0.000,231
234,8980.000,640144.923,348.534,110.923,107.580,106.283,0.982,0.988,0.929,1514.000,2280.000,0.716,2.000,232
235,8996.000,641856.540,348.534,111.086,108.199,105.858,0.983,0.978,0.931,1520.000,420.000,0.725,0.000,233
237,8760.000,616765.339,345.706,109.124,105.807,105.421,0.981,0.996,0.921,1540.000,1666.000,0.713,0.000,236
238,9136.000,656897.995,352.534,111.140,108.623,107.091,0.981,0.986,0.924,1542.000,170.000,0.731,0.000,238
239,9120.000,655173.100,350.191,111.140,108.456,107.067,0.984,0.987,0.935,1542.000,578.000,0.726,0.000,239
240,8700.000,610439.572,344.049,108.462,105.728,104.780,0.981,0.991,0.924,1542.000,1794.000,0.710,0.000,237
241,8980.000,640144.923,348.049,111.086,107.910,105.968,0.984,0.982,0.932,1554.000,2158.000,0.713,0.000,240
242,8904.000,632035.580,346.877,109.417,106.594,106.361,0.984,0.998,0.930,1556.000,2030.000,0.700,0.000,241
243,9036.000,646142.241,348.534,111.086,107.968,106.557,0.983,0.987,0.935,1558.000,1040.000,0.710,0.000,242
244,8452.000,584524.922,337.220,107.201,104.528,102.950,0.984,0.985,0.934,1558.000,1166.000,0.719,0.000,243
245,8872.000,628631.443,347.362,109.836,107.125,105.453,0.980,0.984,0.924,1566.000,1442.000,0.722,2.000,244
246,9064.000,649147.884,350.191,110.725,107.865,106.993,0.982,0.992,0.929,1574.000,890.000,0.711,0.000,245
247,9016.000,643998.202,351.362,110.164,107.264,107.027,0.978,0.998,0.918,1580.000,1314.000,0.718,0.000,247
248,8988.000,641000.541,348.049,110.145,107.246,106.710,0.983,0.995,0.932,1582.000,702.000,0.701,2.828,246
249,9000.000,642284.682,350.191,111.086,107.973,106.154,0.978,0.983,0.922,1596.000,1908.000,0.707,0.000,248
250,9016.000,643998.202,349.706,110.635,108.006,106.285,0.982,0.984,0.926,1596.000,2430.000,0.720,0.000,249
251,8964.000,638434.830,348.534,110.309,106.993,106.677,0.981,0.997,0.927,1600.000,2682.000,0.723,0.000,250
252,8644.000,604555.167,343.563,112.588,111.668,98.821,0.983,0.883,0.920,1612.000,1560.000,0.362,46.690,251
253,9080.000,650867.480,351.362,110.725,107.918,107.135,0.980,0.993,0.924,1622.000,2556.000,0.743,0.000,252
254,8864.000,627781.367,346.877,109.636,107.159,105.324,0.983,0.983,0.926,1636.000,278.000,0.735,2.828,253
255,8976.000,639717.257,348.534,110.923,108.154,105.681,0.982,0.977,0.929,1640.000,2312.000,0.705,0.000,254
256,9456.000,691711.499,357.706,113.208,109.994,109.474,0.982,0.995,0.929,1666.000,1680.000,0.728,0.000,255
257,9212.000,665111.863,353.706,111.517,108.801,107.817,0.981,0.991,0.925,1674.000,1106.000,0.693,2.000,256
258,8920.000,633739.945,346.877,110.073,107.142,106.006,0.982,0.989,0.932,1674.000,1810.000,0.708,2.000,257
259,8792.000,620147.960,344.534,109.252,106.255,105.355,0.983,0.992,0.931,1674.000,2072.000,0.719,0.000,258
260,9220.000,665978.458,353.706,111.427,108.537,108.167,0.981,0.997,0.926,1684.000,2788.000,0.729,2.000,259
261,8704.000,610860.613,344.049,109.252,106.047,104.507,0.980,0.985,0.924,1686.000,1234.000,0.719,0.000,260
262,8892.000,630758.311,347.362,109.563,106.740,106.076,0.981,0.994,0.926,1686.000,2198.000,0.736,0.000,261
263,9204.000,664245.644,353.019,111.803,108.666,107.852,0.982,0.992,0.928,1692.000,1416.000,0.734,0.000,262
264,9096.000,652588.592,349.706,112.872,109.722,105.577,0.984,0.962,0.935,1694.000,440.000,0.744,0.000,263
265,8996.000,641856.540,346.877,110.309,107.376,106.668,0.986,0.993,0.940,1694.000,980.000,0.751,0.000,264
266,8088.000,547174.077,332.049,105.679,102.652,100.363,0.980,0.977,0.922,1700.000,816.000,0.750,0.000,266
267,9148.000,658192.659,352.534,111.086,108.233,107.618,0.982,0.994,0.925,1704.000,166.000,0.706,0.000,265
