cLabel,cArea,cVolum,cPerim,cFeret,cMajor,cMinor,cSolid,cRound,cCircl,cY,cX,csRatio,csDist,c_sLabel
16,9784.000,728011.880,363.362,115.551,112.599,110.644,0.984,0.983,0.931,86.000,1060.000,0.716,0.000,16
17,9988.000,750899.129,366.191,116.362,113.340,112.202,0.985,0.990,0.936,92.000,2658.000,0.713,0.000,17
18,11032.000,871656.113,388.333,122.376,119.766,117.311,0.983,0.979,0.919,94.000,1372.000,0.951,2.000,18
19,9368.000,682078.128,354.877,112.925,109.819,108.610,0.985,0.989,0.935,94.000,2118.000,0.819,0.000,19
20,10280.000,784067.536,371.362,119.331,116.869,112.065,0.986,0.958,0.937,98.000,188.000,0.841,4.000,20
21,9628.000,710669.902,362.191,114.140,111.293,110.153,0.982,0.990,0.922,102.000,1194.000,0.713,0.000,21
22,5640.000,318626.913,274.108,87.727,84.763,84.718,0.982,0.999,0.943,106.000,708.000,0.685,0.000,22
23,10972.000,864554.745,385.505,122.115,119.112,117.293,0.985,0.985,0.928,142.000,2520.000,0.955,0.000,25
24,10668.000,828873.607,381.505,121.078,117.926,115.186,0.982,0.977,0.921,146.000,434.000,0.756,0.000,23
25,9692.000,717767.696,362.191,114.543,111.551,110.626,0.983,0.992,0.928,146.000,1946.000,0.741,0.000,24
26,10232.000,778582.427,372.534,118.186,115.505,112.811,0.983,0.976,0.926,160.000,1760.000,0.788,4.000,27
27,10924.000,858887.609,385.505,121.672,118.873,117.015,0.983,0.984,0.924,160.000,568.000,0.725,2.828,26
28,9760.000,725334.821,365.019,114.612,111.810,111.150,0.981,0.994,0.921,166.000,2772.000,0.727,2.828,28
29,10076.000,760844.733,367.362,116.619,113.507,113.027,0.986,0.996,0.938,176.000,2298.000,0.743,2.000,29
30,9116.000,654742.112,350.877,111.086,108.104,107.371,0.983,0.993,0.930,180.000,962.000,0.708,2.828,30
31,9484.000,694786.095,357.706,116.362,112.475,107.416,0.983,0.955,0.931,188.000,1534.000,0.784,2.000,31
34,9704.000,719101.148,360.534,114.909,111.898,110.416,0.985,0.987,0.938,206.000,1280.000,0.787,2.828,33
35,9340.000,679022.421,356.534,112.872,110.119,107.992,0.980,0.981,0.923,240.000,2074.000,0.731,2.000,35
36,11052.000,874027.535,385.505,123.223,120.581,116.772,0.987,0.968,0.935,268.000,2422.000,0.923,4.472,36
37,9596.000,707129.832,359.362,114.543,111.653,109.440,0.984,0.980,0.934,274.000,648.000,0.743,0.000,37
38,10568.000,817246.383,381.019,122.654,119.634,112.547,0.981,0.940,0.915,282.000,2608.000,0.871,2.000,40
39,10072.000,760391.714,371.161,118.878,115.487,111.115,0.981,0.962,0.919,280.000,430.000,0.817,2.000,38
40,9172.000,660784.534,353.019,112.588,108.608,107.556,0.981,0.990,0.925,280.000,1926.000,0.729,2.000,39
41,10228.000,778125.915,371.848,118.457,115.972,112.359,0.984,0.968,0.930,298.000,234.000,0.800,2.828,41
42,10308.000,787273.105,373.019,122.262,119.523,109.896,0.985,0.919,0.931,296.000,2740.000,0.824,2.828,42
44,9608.000,708456.667,362.191,115.551,112.303,109.022,0.982,0.970,0.920,324.000,1002.000,0.788,2.828,45
45,10128.000,766742.152,370.191,116.619,114.029,113.098,0.983,0.992,0.929,326.000,1216.000,0.735,0.000,44
46,10136.000,767650.793,373.019,118.068,115.476,111.881,0.982,0.968,0.915,332.000,1536.000,0.843,2.828,46
47,9356.000,680767.979,354.877,112.925,109.962,108.350,0.985,0.985,0.934,332.000,1794.000,0.730,2.000,47
48,9104.000,653449.716,350.877,111.086,108.409,106.927,0.984,0.986,0.929,344.000,2318.000,0.718,0.000,48
49,10460.000,804750.633,377.706,120.067,116.690,114.273,0.984,0.978,0.921,360.000,1348.000,0.796,0.000,49
50,9964.000,748194.271,366.191,117.881,115.183,110.163,0.985,0.956,0.934,374.000,2062.000,0.786,2.828,50
51,9688.000,717323.395,363.362,114.490,111.286,110.853,0.981,0.996,0.922,388.000,2192.000,0.709,2.000,51
52,9484.000,694786.095,358.191,112.925,110.172,109.606,0.982,0.995,0.929,396.000,110.000,0.732,0.000,52
53,9896.000,740548.199,366.191,115.551,112.757,111.752,0.983,0.991,0.927,396.000,2542.000,0.748,0.000,53
54,9532.000,700067.394,359.362,113.719,110.698,109.649,0.982,0.990,0.928,410.000,1908.000,0.738,0.000,54
55,11216.000,893553.996,391.848,125.936,122.415,116.705,0.981,0.953,0.918,438.000,362.000,0.877,4.472,55
56,9496.000,696105.170,359.848,113.137,110.482,109.442,0.981,0.991,0.922,448.000,2804.000,0.718,2.000,56
57,10640.000,825612.467,380.333,121.491,119.711,113.207,0.983,0.945,0.924,458.000,520.000,0.870,2.000,58
58,10220.000,777213.157,372.534,118.962,114.495,113.781,0.984,0.993,0.925,456.000,1004.000,0.762,2.000,57
59,10876.000,853232.911,387.848,122.115,118.898,116.636,0.980,0.980,0.909,462.000,1534.000,0.809,0.000,59
60,9896.000,740548.199,369.019,117.388,113.711,110.903,0.981,0.974,0.913,462.000,1782.000,0.755,2.000,60
61,10112.000,764925.945,370.191,119.231,115.114,111.937,0.984,0.972,0.927,482.000,2384.000,0.759,2.000,61
63,10092.000,762657.706,370.676,118.878,116.050,110.760,0.984,0.954,0.923,504.000,1362.000,0.770,4.472,63
64,10636.000,825146.940,381.019,120.830,117.900,114.916,0.982,0.974,0.921,508.000,1234.000,0.832,6.000,66
65,9620.000,709784.332,361.019,114.018,111.566,109.796,0.983,0.984,0.928,508.000,2072.000,0.748,2.000,64
66,9360.000,681204.602,354.877,112.925,109.884,108.461,0.984,0.987,0.934,510.000,2252.000,0.723,2.000,65
67,9324.000,677278.357,353.706,113.649,110.422,107.543,0.985,0.974,0.937,522.000,692.000,0.692,0.000,67
68,10772.000,841023.861,382.676,121.754,118.088,116.256,0.984,0.984,0.924,538.000,2694.000,0.873,4.000,68
69,9532.000,700067.394,359.362,113.719,110.900,109.446,0.983,0.987,0.928,542.000,830.000,0.732,2.000,69
70,9520.000,698745.820,359.362,113.296,110.266,109.942,0.981,0.997,0.926,556.000,1624.000,0.744,0.000,72
71,9788.000,728458.376,365.019,114.769,112.148,111.130,0.981,0.991,0.923,554.000,2540.000,0.784,2.828,70
72,9556.000,702713.039,360.049,116.362,112.102,108.597,0.984,0.968,0.926,556.000,1094.000,0.758,2.000,71
73,10044.000,757223.104,369.019,116.619,113.880,112.298,0.983,0.986,0.927,572.000,326.000,0.704,0.000,73
74,9148.000,658192.659,350.877,112.161,109.624,106.278,0.984,0.969,0.934,580.000,188.000,0.681,2.000,74
75,10124.000,766287.965,371.848,117.388,114.646,112.480,0.981,0.981,0.920,588.000,1468.000,0.783,2.000,75
76,8988.000,641000.541,349.706,110.725,107.863,106.112,0.979,0.984,0.924,592.000,1756.000,0.722,2.828,76
77,10172.000,771744.117,372.534,119.080,115.564,112.274,0.983,0.970,0.921,600.000,1976.000,0.836,2.828,77
79,10156.000,769923.966,371.848,117.388,114.738,112.704,0.983,0.982,0.923,616.000,944.000,0.735,0.000,80
80,24088.000,2812321.157,574.843,179.388,176.575,173.738,0.988,0.984,0.916,638.000,568.000,0.748,2.000,78
81,9496.000,696105.170,357.706,112.925,110.108,109.814,0.984,0.997,0.933,652.000,2630.000,0.721,0.000,81
82,9524.000,699186.252,360.534,113.719,110.781,109.467,0.980,0.988,0.921,660.000,1224.000,0.751,2.000,82
83,10236.000,779039.029,371.848,118.474,114.999,113.398,0.983,0.985,0.930,670.000,784.000,0.848,2.828,84
84,9832.000,733375.851,364.534,115.551,112.827,110.951,0.984,0.983,0.930,668.000,2280.000,0.735,0.000,83
85,9764.000,725780.769,362.191,115.169,112.148,110.854,0.983,0.988,0.935,672.000,2128.000,0.758,0.000,85
86,9824.000,732480.944,363.848,117.388,114.543,109.256,0.985,0.953,0.933,676.000,2782.000,0.788,2.828,86
87,9104.000,653449.716,349.706,112.161,109.574,105.803,0.985,0.965,0.935,682.000,404.000,0.693,0.000,87
88,10176.000,772199.378,371.848,117.745,115.582,112.101,0.983,0.970,0.925,686.000,1354.000,0.773,0.000,88
89,11180.000,889255.389,390.960,126.301,119.921,118.994,0.985,0.990,0.919,688.000,1608.000,0.806,2.000,89
90,10960.000,863136.797,387.161,124.064,120.113,116.245,0.982,0.967,0.919,704.000,1104.000,0.869,2.000,90
91,9564.000,703595.659,359.362,113.719,111.282,109.425,0.983,0.983,0.931,708.000,218.000,0.720,0.000,91
92,9604.000,708014.297,360.049,115.879,112.366,108.911,0.984,0.968,0.931,718.000,1922.000,0.757,0.000,92
93,9320.000,676842.575,354.877,112.161,109.257,108.616,0.983,0.994,0.930,722.000,1790.000,0.728,0.000,93
94,11108.000,880678.932,387.362,123.693,121.612,116.384,0.984,0.956,0.930,742.000,90.000,0.924,2.000,94
95,9896.000,740548.199,366.191,120.830,116.935,107.814,0.984,0.921,0.927,744.000,914.000,0.777,2.000,95
98,9164.000,659920.198,353.706,113.208,109.590,106.503,0.979,0.972,0.920,788.000,1248.000,0.733,2.000,98
99,9840.000,734271.121,364.534,116.362,112.363,111.562,0.983,0.992,0.931,800.000,336.000,0.777,4.000,99
100,9460.000,692150.449,357.019,112.925,109.867,109.644,0.984,0.998,0.933,802.000,796.000,0.767,0.000,101
101,9756.000,724888.964,363.362,114.769,112.146,110.763,0.984,0.988,0.929,802.000,2164.000,0.731,2.000,100
102,10200.000,774932.826,370.191,118.474,115.340,112.613,0.986,0.976,0.935,804.000,518.000,0.741,0.000,102
103,9640.000,711998.947,362.191,114.612,111.922,109.673,0.982,0.980,0.923,822.000,652.000,0.741,2.000,103
104,10200.000,774932.826,374.191,120.333,115.367,112.918,0.982,0.976,0.915,832.000,2468.000,0.845,0.000,104
105,14984.000,1379766.025,626.642,200.420,214.710,103.280,0.857,0.414,0.480,818.000,1388.000,1.187,31.623,105
106,10164.000,770833.863,371.848,117.388,114.396,113.138,0.982,0.989,0.924,848.000,2730.000,0.725,0.000,106
108,10044.000,757223.104,369.019,116.619,113.629,112.545,0.982,0.990,0.927,870.000,224.000,0.699,0.000,107
109,10160.000,770378.870,371.362,118.186,115.505,112.016,0.983,0.970,0.926,872.000,2596.000,0.745,2.828,108
110,10044.000,757223.104,371.848,117.881,114.502,111.816,0.979,0.975,0.913,876.000,2338.000,0.840,2.828,110
111,9400.000,685575.960,358.191,112.925,109.971,108.834,0.980,0.990,0.921,882.000,1158.000,0.685,2.828,111
112,9660.000,714215.860,363.848,114.140,111.447,110.365,0.980,0.990,0.917,890.000,1562.000,0.731,0.000,112
113,9512.000,697865.233,359.848,113.719,110.759,109.355,0.981,0.987,0.923,904.000,1850.000,0.739,0.000,113
114,9780.000,727565.475,362.877,119.365,115.040,108.315,0.985,0.941,0.933,924.000,752.000,0.764,2.828,114
115,9812.000,731139.268,365.019,114.978,112.106,111.449,0.983,0.994,0.925,938.000,552.000,0.740,0.000,115
117,11112.000,881154.674,388.333,122.931,119.636,118.268,0.983,0.989,0.926,942.000,2070.000,0.735,2.000,116
118,10092.000,762657.706,370.191,116.619,114.085,112.653,0.983,0.987,0.925,944.000,886.000,0.768,0.000,117
119,10380.000,795535.988,373.505,120.830,117.251,112.802,0.986,0.961,0.935,960.000,1270.000,0.757,2.000,119
120,10492.000,808446.384,377.019,120.017,116.269,115.009,0.985,0.988,0.928,970.000,320.000,0.859,4.000,120
121,9616.000,709341.685,361.706,114.018,111.371,109.950,0.982,0.987,0.924,978.000,2770.000,0.725,2.828,121
122,11148.000,885440.210,387.848,124.193,121.553,116.810,0.986,0.961,0.931,982.000,1746.000,0.916,4.472,122
123,9452.000,691272.642,359.362,112.730,109.892,109.516,0.980,0.997,0.920,994.000,110.000,0.744,0.000,123
124,9880.000,738752.931,364.534,116.619,113.816,110.542,0.984,0.971,0.934,1002.000,2210.000,0.719,0.000,124
125,9788.000,728458.376,365.505,117.388,114.799,108.685,0.983,0.946,0.921,1000.000,2636.000,0.794,2.000,125
127,10464.000,805212.293,374.676,121.852,118.576,112.414,0.987,0.948,0.937,1018.000,660.000,0.865,2.000,128
128,10540.000,814000.584,379.161,121.655,118.320,113.498,0.982,0.959,0.921,1014.000,1924.000,0.769,2.828,127
129,15940.000,1513896.817,467.446,147.959,144.710,140.312,0.985,0.969,0.917,1022.000,2352.000,0.793,4.472,126
130,10520.000,811684.794,377.019,120.830,117.810,113.724,0.984,0.965,0.930,1030.000,1494.000,0.792,2.000,130
131,10892.000,855116.427,387.161,125.936,122.438,113.412,0.982,0.925,0.913,1034.000,1078.000,0.839,2.828,131
132,10164.000,770833.863,370.191,117.661,114.794,112.739,0.985,0.982,0.932,1080.000,794.000,0.727,2.000,132
133,9912.000,742344.919,367.848,117.388,115.229,109.652,0.982,0.950,0.921,1082.000,2498.000,0.767,2.000,133
134,9344.000,679458.670,355.362,112.730,110.079,108.078,0.984,0.982,0.930,1082.000,948.000,0.721,2.000,134
135,10672.000,829339.833,382.676,124.483,120.838,112.559,0.982,0.931,0.916,1090.000,1612.000,0.831,2.000,137
136,9540.000,700948.906,361.019,113.296,110.392,110.040,0.981,0.997,0.920,1088.000,1202.000,0.699,0.000,135
138,11408.000,916596.235,393.990,127.389,125.552,115.757,0.983,0.921,0.924,1114.000,464.000,0.843,2.828,138
139,10088.000,762204.328,369.706,119.080,114.879,111.895,0.983,0.973,0.927,1118.000,1806.000,0.770,2.000,139
141,10324.000,789106.815,375.161,120.830,117.200,112.233,0.982,0.957,0.922,1150.000,1384.000,0.793,5.657,141
142,10820.000,846651.518,384.333,122.000,119.387,115.437,0.982,0.967,0.920,1162.000,2234.000,0.826,2.000,142
143,9452.000,691272.642,359.362,112.730,109.942,109.471,0.981,0.996,0.920,1168.000,266.000,0.732,0.000,143
144,9892.000,740099.246,366.191,115.603,112.698,111.758,0.984,0.992,0.927,1172.000,1082.000,0.723,0.000,144
145,11884.000,974558.166,401.990,129.244,126.406,119.715,0.984,0.947,0.924,1172.000,2728.000,0.916,2.828,145
146,10048.000,757675.492,370.676,117.047,113.951,112.311,0.980,0.985,0.919,1174.000,2594.000,0.811,2.828,146
147,10220.000,777213.157,374.191,118.338,114.763,113.431,0.980,0.988,0.917,1186.000,668.000,0.715,2.828,147
148,9684.000,716879.186,363.563,116.619,112.908,109.432,0.984,0.967,0.921,1190.000,872.000,0.744,0.000,148
149,9796.000,729351.642,365.019,117.388,113.925,109.588,0.982,0.961,0.924,1224.000,2082.000,0.789,4.472,149
150,9968.000,748644.855,367.362,115.948,113.414,111.904,0.983,0.987,0.928,1240.000,1222.000,0.748,0.000,150
151,10528.000,812610.846,377.505,120.333,117.172,114.434,0.984,0.976,0.928,1242.000,1942.000,0.882,2.000,152
152,9612.000,708899.130,363.563,121.852,121.610,101.219,0.979,0.828,0.914,1246.000,502.000,0.416,46.043,151
153,9964.000,748194.271,369.019,119.080,117.001,108.524,0.982,0.927,0.919,1248.000,96.000,0.799,2.828,153
154,8744.000,615076.343,343.563,114.140,112.752,98.922,0.984,0.876,0.931,1250.000,408.000,0.379,48.042,151
155,9300.000,674665.066,354.877,113.719,110.219,107.459,0.982,0.975,0.928,1254.000,2438.000,0.753,0.000,154
156,10288.000,784982.968,373.019,118.186,114.978,113.929,0.984,0.991,0.929,1276.000,1794.000,0.726,0.000,155
157,9044.000,647000.522,350.877,110.941,107.872,106.760,0.981,0.990,0.923,1282.000,778.000,0.714,2.000,156
158,10924.000,858887.609,384.333,121.277,118.671,117.252,0.984,0.988,0.929,1302.000,2734.000,0.877,4.472,157
159,10432.000,801521.484,377.990,121.342,117.653,112.989,0.982,0.960,0.918,1310.000,1338.000,0.779,2.828,158
160,9668.000,715103.268,361.019,115.948,112.758,109.231,0.983,0.968,0.932,1314.000,1620.000,0.790,2.000,159
162,9176.000,661216.843,350.877,111.893,108.835,107.360,0.985,0.986,0.937,1322.000,652.000,0.716,0.000,160
163,9440.000,689956.629,356.534,112.925,109.913,109.359,0.985,0.995,0.933,1334.000,1078.000,0.722,2.000,162
165,10144.000,768559.794,371.848,117.201,114.217,113.084,0.981,0.990,0.922,1348.000,2022.000,0.725,2.000,163
166,9424.000,688203.246,357.019,114.018,110.129,108.991,0.982,0.989,0.929,1350.000,2254.000,0.730,2.828,165
167,10368.000,794156.844,375.848,121.491,118.536,111.501,0.983,0.940,0.922,1356.000,930.000,0.808,0.000,166
168,10028.000,755414.450,369.019,115.966,113.185,112.809,0.984,0.997,0.925,1378.000,1890.000,0.733,2.828,167
169,10112.000,764925.945,370.191,117.388,114.976,112.049,0.983,0.974,0.927,1382.000,106.000,0.789,0.000,169
170,10608.000,821890.701,379.647,123.223,119.435,113.215,0.984,0.947,0.925,1382.000,2438.000,0.862,2.828,170
171,10080.000,761297.841,369.019,116.362,113.485,113.093,0.984,0.997,0.930,1384.000,248.000,0.734,0.000,168
