sLabel,sArea,sVolum,sPerim,sFeret,sMajor,sMinor,sSolid,sRound,sCircl,sY,sX,sCore,s_cLabel,s_cArea,s_cVolum,s_cPerim,s_cFeret,s_cMajor,s_cMinor,s_cSolid,s_cRound,s_cCircl,s_csRatio,s_csDist
11,4380.000,218059.477,244.451,79.246,76.580,72.964,0.972,0.951,0.921,48.000,156.000,0,[],,,,,,,,,,,
13,11364.000,911298.463,393.505,125.220,121.488,119.142,0.984,0.980,0.922,78.000,2186.000,1,[11],9180.000,661649.246,353.019,113.719,110.868,105.446,0.982,0.951,0.926,0.808,5.657
14,12136.000,1005720.151,416.132,130.000,126.875,122.035,0.972,0.960,0.881,86.000,444.000,1,[12],8832.000,624384.899,347.362,110.635,107.607,104.515,0.979,0.971,0.920,0.728,2.000
15,11500.000,927706.417,399.161,125.539,121.911,120.175,0.979,0.985,0.907,90.000,1994.000,1,[13],8388.000,577898.321,336.534,107.517,104.851,101.871,0.983,0.971,0.931,0.729,2.000
16,10368.000,794156.844,376.333,119.231,115.641,114.213,0.981,0.987,0.920,114.000,1540.000,1,[14],6972.000,437925.130,308.735,97.673,94.881,93.570,0.976,0.986,0.919,0.672,2.828
17,12432.000,1042738.244,416.132,130.920,126.824,124.864,0.981,0.984,0.902,122.000,1874.000,1,[16],8252.000,563900.694,334.392,105.603,102.787,102.221,0.982,0.994,0.927,0.664,0.000
18,4788.000,249226.956,253.622,82.680,79.548,76.705,0.977,0.963,0.935,116.000,198.000,1,[15],3996.000,190021.184,231.966,75.153,72.563,70.144,0.974,0.966,0.933,0.835,2.000
19,11560.000,934976.190,400.333,128.062,123.169,119.687,0.980,0.970,0.906,136.000,330.000,1,[17],8552.000,594929.273,340.049,107.201,104.417,104.283,0.982,0.999,0.929,0.740,0.000
21,11856.000,971115.948,403.161,128.156,123.757,122.015,0.983,0.986,0.917,160.000,2096.000,1,[19],8280.000,566773.199,334.877,106.320,103.544,101.829,0.980,0.983,0.928,0.698,0.000
22,12396.000,1038212.257,409.990,131.027,126.621,124.721,0.985,0.984,0.927,164.000,1752.000,1,[20],8460.000,585355.017,338.877,107.331,104.192,103.391,0.981,0.992,0.926,0.682,2.000
23,12852.000,1096023.524,421.990,133.701,129.166,126.755,0.981,0.981,0.907,168.000,546.000,1,[21],9272.000,671620.486,353.706,113.719,110.741,106.608,0.983,0.963,0.931,0.721,0.000
24,3160.000,133627.063,219.480,69.080,64.147,63.079,0.947,0.978,0.824,168.000,412.000,0,[],,,,,,,,,,,
25,12380.000,1036202.814,414.274,130.981,125.958,125.231,0.982,0.994,0.906,198.000,1624.000,1,[25],8468.000,586185.504,337.220,107.424,104.242,103.433,0.984,0.992,0.936,0.684,2.000
26,6060.000,354872.819,293.492,92.087,88.377,87.469,0.965,0.988,0.884,182.000,2200.000,0,[],,,,,,,,,,,
27,5304.000,290582.244,273.421,86.925,83.016,81.692,0.966,0.980,0.892,186.000,238.000,1,[24],3952.000,186891.351,230.794,74.673,71.561,70.320,0.971,0.983,0.932,0.745,2.000
28,12100.000,1001248.448,408.818,129.275,125.685,122.614,0.981,0.975,0.910,210.000,1972.000,1,[27],8656.000,605814.511,342.877,108.407,105.847,104.132,0.981,0.984,0.925,0.715,2.000
29,12876.000,1099095.051,421.304,132.981,129.166,127.000,0.981,0.983,0.912,220.000,2302.000,1,[28],9772.000,726672.939,364.534,117.337,113.820,109.374,0.982,0.960,0.924,0.759,2.000
30,11368.000,911779.656,408.333,143.694,143.582,102.257,0.975,0.702,0.857,246.000,920.000,1,[36],8940.000,635872.552,400.818,134.937,138.276,87.448,0.915,0.595,0.699,0.786,4.000
31,13096.000,1127383.826,440.902,151.855,146.084,115.545,0.974,0.781,0.847,224.000,1494.000,1,[30],9488.000,695225.694,412.818,140.684,136.613,94.550,0.919,0.647,0.700,0.724,2.000
32,12984.000,1112952.324,420.818,134.462,131.067,126.183,0.985,0.962,0.921,238.000,650.000,1,[31],9144.000,657761.010,351.362,112.161,108.702,107.120,0.982,0.985,0.931,0.704,0.000
33,13564.000,1188353.014,433.789,136.015,132.636,130.240,0.982,0.982,0.906,242.000,124.000,1,[32],9928.000,744143.089,367.848,116.379,113.403,111.472,0.980,0.983,0.922,0.732,0.000
34,11996.000,988367.567,408.132,128.156,124.234,123.060,0.977,0.990,0.905,246.000,1850.000,1,[33],8600.000,599945.054,343.362,111.893,106.688,102.764,0.979,0.962,0.917,0.717,2.000
35,8456.000,584939.920,342.877,108.259,104.955,102.626,0.977,0.977,0.904,252.000,816.000,1,[34],5948.000,345080.358,283.279,90.554,87.824,86.252,0.979,0.982,0.931,0.703,0.000
36,12136.000,1005720.151,406.475,129.120,124.561,124.088,0.983,0.996,0.923,266.000,360.000,1,[35],8356.000,574594.477,336.049,107.424,104.571,101.761,0.981,0.973,0.930,0.689,2.000
38,12260.000,1021173.428,411.647,131.605,126.028,123.897,0.980,0.983,0.909,282.000,484.000,1,[38],8448.000,584110.022,337.220,106.977,104.153,103.277,0.983,0.992,0.934,0.689,0.000
39,12160.000,1008704.975,408.818,129.074,124.996,123.934,0.984,0.991,0.914,282.000,2090.000,1,[39],8496.000,589095.297,337.220,107.703,104.831,103.188,0.985,0.984,0.939,0.699,2.000
40,11016.000,869760.522,390.475,125.284,120.706,116.253,0.980,0.963,0.908,290.000,240.000,1,[41],7768.000,515024.187,322.392,103.325,100.632,98.302,0.984,0.977,0.939,0.705,0.000
41,9040.000,646571.334,355.362,113.296,108.101,106.621,0.975,0.985,0.900,286.000,1702.000,1,[40],6468.000,391308.081,293.421,94.021,91.462,90.051,0.984,0.984,0.944,0.715,0.000
42,9696.000,718212.088,368.676,116.927,112.242,110.068,0.974,0.980,0.896,296.000,2210.000,1,[42],6616.000,404815.418,297.907,95.854,92.474,91.095,0.981,0.985,0.937,0.682,0.000
43,12944.000,1107813.254,421.304,132.740,129.514,127.329,0.983,0.983,0.916,304.000,1296.000,1,[43],9160.000,659488.172,350.392,112.161,108.315,107.733,0.985,0.994,0.938,0.708,0.000
44,12092.000,1000255.638,409.304,128.281,125.095,123.118,0.979,0.984,0.907,332.000,1418.000,1,[45],8644.000,604555.167,340.049,108.462,105.468,104.362,0.985,0.989,0.939,0.715,2.000
46,4952.000,262140.881,262.108,85.440,81.008,77.989,0.972,0.961,0.906,324.000,1524.000,0,[],,,,,,,,,,,
47,7472.000,485868.893,317.907,101.980,98.555,96.568,0.981,0.979,0.929,336.000,1610.000,0,[],,,,,,,,,,,
48,12004.000,989356.429,408.818,128.265,124.060,123.285,0.978,0.993,0.903,348.000,1982.000,1,[48],8212.000,559805.565,332.735,105.849,103.175,101.357,0.982,0.982,0.932,0.684,2.000
49,11332.000,907451.973,394.191,126.127,120.776,119.604,0.983,0.989,0.916,348.000,590.000,1,[49],8460.000,585355.017,337.706,111.086,106.734,100.999,0.983,0.946,0.932,0.747,0.000
50,12412.000,1040222.997,411.647,130.000,125.921,125.560,0.982,0.997,0.920,350.000,1172.000,1,[50],8944.000,636299.359,349.019,111.571,108.766,104.722,0.980,0.963,0.923,0.721,2.000
51,12232.000,1017677.116,411.647,129.692,125.615,124.045,0.981,0.987,0.907,350.000,2314.000,1,[51],8888.000,630332.746,346.877,109.636,106.645,106.113,0.982,0.995,0.928,0.727,2.000
52,12532.000,1055344.812,417.789,132.966,128.059,124.724,0.980,0.973,0.902,362.000,778.000,1,[52],9320.000,676842.575,356.534,113.649,109.544,108.354,0.981,0.989,0.921,0.744,0.000
53,12168.000,1009700.571,409.304,128.390,125.414,123.571,0.982,0.985,0.913,370.000,1858.000,1,[54],8824.000,623536.742,344.049,109.252,106.465,105.531,0.985,0.991,0.937,0.725,0.000
54,12228.000,1017177.969,410.960,130.553,126.538,123.083,0.981,0.972,0.910,372.000,100.000,1,[53],8768.000,617610.416,345.706,110.145,106.993,104.354,0.979,0.975,0.922,0.717,2.000
55,12224.000,1016678.904,408.818,128.996,126.293,123.260,0.984,0.976,0.919,380.000,904.000,1,[55],8592.000,599108.116,340.049,108.407,105.537,103.662,0.984,0.982,0.934,0.703,2.000
56,6432.000,388045.681,296.250,94.594,91.579,89.523,0.978,0.976,0.921,376.000,1750.000,1,[56],5108.000,274625.040,262.108,84.971,82.433,78.903,0.977,0.957,0.934,0.794,2.828
57,11660.000,947134.434,402.960,126.649,123.120,120.639,0.979,0.979,0.902,392.000,426.000,1,[57],8352.000,574181.941,336.049,107.424,104.745,101.524,0.982,0.969,0.929,0.716,0.000
58,12536.000,1055850.124,417.304,131.103,127.483,125.238,0.979,0.982,0.905,404.000,1050.000,1,[59],8812.000,622265.227,344.049,109.636,107.007,104.860,0.985,0.980,0.936,0.703,2.000
59,7312.000,470346.671,318.392,101.213,97.270,95.817,0.974,0.984,0.906,396.000,210.000,1,[58],5052.000,270121.289,258.794,83.570,80.518,79.928,0.982,0.992,0.948,0.691,2.000
60,12640.000,1069016.507,416.132,132.966,128.058,125.721,0.984,0.981,0.917,412.000,2088.000,1,[61],8884.000,629907.276,346.877,110.309,107.630,105.114,0.981,0.976,0.928,0.703,0.000
61,8828.000,623960.772,351.848,111.803,106.420,105.748,0.975,0.992,0.896,404.000,2212.000,1,[60],5624.000,317272.016,275.765,87.476,85.315,83.939,0.978,0.984,0.929,0.637,0.000
62,11044.000,873078.708,393.990,123.628,119.467,117.756,0.976,0.985,0.894,424.000,1270.000,1,[62],7796.000,517811.327,326.392,102.840,100.025,99.239,0.977,0.992,0.920,0.706,0.000
63,10704.000,833072.792,383.161,120.830,117.060,116.469,0.979,0.995,0.916,422.000,1500.000,1,[63],7068.000,447001.120,310.392,98.489,96.040,93.711,0.977,0.976,0.922,0.660,0.000
64,10204.000,775388.714,372.534,118.474,114.177,113.867,0.983,0.997,0.924,424.000,2472.000,1,[64],6860.000,427415.211,304.735,96.933,93.895,93.027,0.979,0.991,0.928,0.672,2.000
65,11788.000,962773.196,401.990,127.028,123.042,122.011,0.982,0.991,0.917,434.000,2618.000,1,[65],8268.000,565541.530,334.877,105.906,103.196,102.011,0.981,0.989,0.926,0.701,0.000
66,12036.000,993315.172,403.647,128.577,124.726,122.904,0.984,0.985,0.928,436.000,676.000,1,[66],8464.000,585770.211,337.706,106.733,103.968,103.651,0.982,0.997,0.933,0.703,0.000
68,8108.000,549204.909,338.191,105.679,102.309,101.028,0.972,0.986,0.891,440.000,1382.000,1,[68],5508.000,307506.781,270.108,87.361,84.517,82.976,0.984,0.982,0.949,0.679,2.828
69,8524.000,592009.890,343.362,108.904,105.682,102.720,0.977,0.972,0.909,448.000,2750.000,1,[69],6788.000,420703.912,302.593,100.240,96.780,89.377,0.981,0.923,0.932,0.796,2.000
70,9912.000,742344.919,369.019,117.388,113.492,111.246,0.982,0.980,0.915,452.000,534.000,1,[70],6648.000,407755.959,299.078,95.854,92.520,91.495,0.979,0.989,0.934,0.671,0.000
71,8724.000,612967.270,344.534,110.635,106.892,103.982,0.979,0.972,0.924,454.000,1662.000,1,[71],5880.000,339179.651,281.421,90.244,87.424,85.641,0.978,0.980,0.933,0.674,0.000
72,7176.000,457285.515,316.735,100.499,96.234,95.101,0.972,0.987,0.899,458.000,1146.000,1,[72],5028.000,268198.722,260.936,83.187,80.498,79.593,0.975,0.988,0.928,0.701,2.000
73,13456.000,1174188.352,429.789,135.484,132.018,129.806,0.984,0.983,0.915,476.000,1964.000,1,[74],9172.000,660784.534,352.049,111.893,108.957,107.195,0.983,0.984,0.930,0.682,0.000
74,3112.000,130593.988,208.167,68.877,64.030,62.139,0.970,0.966,0.902,454.000,1744.000,0,[],,,,,,,,,,,
75,10884.000,854174.496,387.161,121.803,118.160,117.336,0.982,0.993,0.912,480.000,814.000,1,[75],7516.000,490166.874,317.907,101.980,98.884,96.786,0.982,0.979,0.935,0.691,0.000
76,12244.000,1019175.046,414.475,130.384,126.281,123.658,0.977,0.978,0.896,492.000,1826.000,1,[76],8352.000,574181.941,336.049,106.621,103.572,102.682,0.981,0.991,0.929,0.682,0.000
77,12264.000,1021673.227,408.818,129.692,125.871,124.075,0.985,0.986,0.922,496.000,2282.000,1,[78],8728.000,613388.892,344.049,108.462,105.905,104.936,0.982,0.991,0.927,0.712,0.000
78,10916.000,857944.295,385.505,122.654,119.976,115.874,0.982,0.966,0.923,494.000,132.000,1,[79],8000.000,538268.271,327.563,104.785,102.127,99.752,0.982,0.977,0.937,0.733,0.000
79,12056.000,995792.060,409.304,128.825,124.772,123.087,0.980,0.986,0.904,504.000,938.000,1,[80],8612.000,601201.191,340.534,110.635,106.658,102.856,0.983,0.964,0.933,0.714,2.000
80,6304.000,376520.049,298.877,95.079,89.886,89.446,0.970,0.993,0.887,492.000,1572.000,1,[77],4720.000,243936.506,249.622,81.437,78.735,76.360,0.980,0.969,0.952,0.749,2.000
81,8840.000,625233.440,356.534,115.378,108.036,104.802,0.968,0.964,0.874,502.000,2164.000,1,[81],6016.000,351014.892,285.421,91.389,87.906,87.167,0.979,0.991,0.928,0.681,2.000
