sLabel,sArea,sVolum,sPerim,sFeret,sMajor,sMinor,sSolid,sRound,sCircl,sY,sX,sCore,s_cLabel,s_cArea,s_cVolum,s_cPerim,s_cFeret,s_cMajor,s_cMinor,s_cSolid,s_cRound,s_cCircl,s_csRatio,s_csDist
18,13860.000,1227463.667,443.304,139.054,134.669,131.178,0.979,0.973,0.886,78.000,1210.000,1,[18],10228.000,778125.915,373.019,120.017,115.748,112.543,0.983,0.972,0.924,0.738,2.000
19,12952.000,1108840.433,420.818,133.881,129.745,127.139,0.984,0.980,0.919,82.000,796.000,1,[19],9344.000,679458.670,356.534,112.925,110.172,108.009,0.982,0.980,0.924,0.721,0.000
20,12268.000,1022173.108,411.647,136.015,127.814,122.409,0.982,0.956,0.910,88.000,2354.000,1,[20],10464.000,805212.293,377.706,121.491,117.161,113.841,0.983,0.971,0.922,0.853,2.000
21,12856.000,1096535.246,416.818,132.378,128.799,127.106,0.987,0.987,0.930,96.000,1798.000,1,[22],9636.000,711555.840,360.534,113.877,110.842,110.694,0.984,0.999,0.932,0.750,0.000
23,11964.000,984415.417,404.333,128.281,125.342,121.622,0.984,0.970,0.920,132.000,1006.000,1,[23],11340.000,908413.087,393.019,124.788,121.138,119.232,0.983,0.984,0.923,0.948,2.000
24,12648.000,1070031.556,414.676,133.462,128.292,125.610,0.985,0.978,0.924,140.000,1444.000,1,[24],10196.000,774477.028,371.848,118.474,114.916,112.992,0.982,0.983,0.927,0.806,4.472
25,12464.000,1046766.851,411.161,130.000,126.817,125.186,0.985,0.987,0.926,140.000,2230.000,1,[25],9764.000,725780.769,363.362,115.412,112.005,111.005,0.983,0.991,0.929,0.783,2.000
26,13676.000,1203101.971,433.304,136.191,132.999,130.957,0.983,0.984,0.915,140.000,2760.000,1,[26],10256.000,781323.377,373.019,118.068,114.694,113.858,0.983,0.993,0.926,0.750,2.000
27,13484.000,1177855.234,431.647,137.928,133.776,128.407,0.981,0.959,0.909,152.000,628.000,1,[28],10024.000,754962.512,367.362,116.619,113.343,112.615,0.985,0.993,0.933,0.743,2.000
28,12636.000,1068509.102,420.132,131.939,127.551,126.188,0.980,0.989,0.900,148.000,1656.000,1,[27],9220.000,665978.458,352.534,111.517,108.704,107.996,0.985,0.993,0.932,0.730,0.000
29,13784.000,1217381.498,438.274,136.499,132.916,132.165,0.982,0.993,0.902,166.000,470.000,1,[29],10660.000,827941.415,381.990,120.017,117.403,115.621,0.982,0.985,0.918,0.773,2.000
30,13040.000,1120160.328,424.132,135.440,130.986,126.800,0.982,0.968,0.911,180.000,90.000,1,[30],10048.000,757675.492,370.676,119.331,115.450,110.878,0.980,0.960,0.919,0.771,2.000
31,12952.000,1108840.433,422.475,133.462,130.489,126.439,0.983,0.969,0.912,186.000,1126.000,1,[33],10848.000,849940.091,384.818,122.376,118.448,116.659,0.983,0.984,0.921,0.838,2.828
32,13448.000,1173141.372,436.132,135.351,131.944,129.896,0.978,0.984,0.888,188.000,2576.000,1,[31],10820.000,846651.518,384.818,122.262,119.738,115.136,0.982,0.961,0.918,0.805,4.000
33,12368.000,1034696.584,416.617,132.439,127.636,123.564,0.978,0.967,0.895,186.000,338.000,1,[32],10056.000,758580.540,372.333,120.017,116.686,109.823,0.981,0.940,0.912,0.813,2.000
34,11804.000,964734.038,402.676,128.016,124.947,120.385,0.983,0.963,0.915,190.000,1948.000,1,[34],9460.000,692150.449,361.019,114.280,112.007,107.702,0.979,0.960,0.912,0.801,2.000
35,13832.000,1223745.959,434.960,137.419,134.106,131.389,0.983,0.979,0.919,200.000,1276.000,1,[35],9676.000,715991.044,362.191,114.612,111.922,110.078,0.982,0.983,0.927,0.700,0.000
36,13788.000,1217911.447,433.304,136.953,132.796,132.219,0.984,0.995,0.923,200.000,2086.000,1,[36],10420.000,800138.889,374.191,119.080,116.280,114.102,0.986,0.981,0.935,0.756,0.000
37,13256.000,1148107.472,429.304,135.248,130.841,129.054,0.978,0.986,0.904,204.000,844.000,1,[37],9724.000,721325.400,360.534,114.909,112.030,110.518,0.986,0.986,0.940,0.734,0.000
38,12168.000,1009700.571,408.818,129.321,126.181,122.962,0.982,0.973,0.915,226.000,1794.000,1,[39],10068.000,759938.786,370.676,118.457,115.093,111.478,0.981,0.968,0.921,0.827,2.828
40,13600.000,1193087.135,435.161,138.130,133.581,129.773,0.980,0.970,0.903,254.000,718.000,1,[40],10616.000,822820.617,378.676,121.672,118.863,113.766,0.986,0.957,0.930,0.781,4.000
41,11952.000,982934.723,412.818,132.257,126.666,120.397,0.974,0.948,0.881,256.000,1392.000,1,[41],10684.000,830739.038,382.191,122.801,118.937,114.488,0.983,0.962,0.919,0.894,2.000
42,12432.000,1042738.244,416.333,132.378,127.882,123.850,0.980,0.968,0.901,264.000,560.000,1,[42],9452.000,691272.642,358.191,113.508,110.330,109.082,0.981,0.989,0.926,0.760,2.828
43,12848.000,1095511.882,419.647,132.620,128.447,127.441,0.985,0.992,0.917,266.000,2468.000,1,[43],9568.000,704037.108,360.534,114.490,111.281,109.474,0.982,0.984,0.925,0.745,0.000
44,13112.000,1129450.524,423.647,134.462,130.131,128.350,0.983,0.986,0.918,268.000,960.000,1,[44],10756.000,839150.757,382.676,120.830,117.722,116.433,0.984,0.988,0.923,0.820,2.828
45,12888.000,1100631.888,424.617,133.507,129.625,126.768,0.979,0.977,0.898,270.000,2756.000,1,[45],10168.000,771288.945,369.706,121.078,116.275,111.460,0.986,0.958,0.935,0.789,2.000
46,13084.000,1125834.631,425.789,134.164,129.514,128.733,0.982,0.993,0.907,274.000,1520.000,1,[46],9952.000,746843.063,366.676,118.878,115.243,110.013,0.985,0.954,0.930,0.761,0.000
