cLabel,cArea,cVolum,cPerim,cFeret,cMajor,cMinor,cSolid,cRound,cCircl,cY,cX,csRatio,csDist,c_sLabel
16,10980.000,865500.475,385.019,121.803,119.183,117.316,0.986,0.984,0.931,86.000,2498.000,0.736,2.000,15
18,12780.000,1086826.154,418.475,130.782,128.215,126.918,0.983,0.990,0.917,96.000,624.000,0.752,0.000,16
19,12132.000,1005222.967,405.505,129.244,126.394,122.227,0.985,0.967,0.927,112.000,1612.000,0.724,2.000,18
20,11424.000,918525.234,393.789,128.577,127.553,114.536,0.987,0.894,0.926,116.000,1914.000,0.376,53.740,21
21,10652.000,827009.573,379.848,120.748,117.099,115.837,0.984,0.989,0.928,114.000,764.000,0.768,2.000,19
22,11968.000,984909.147,404.333,127.122,123.753,123.144,0.982,0.995,0.920,120.000,1324.000,0.734,0.000,20
23,11796.000,963753.451,399.848,126.317,123.460,121.671,0.984,0.985,0.927,142.000,2766.000,0.727,0.000,22
24,10984.000,865973.469,385.505,122.654,119.969,116.572,0.986,0.972,0.929,144.000,2624.000,0.730,0.000,24
25,11180.000,889255.389,389.505,122.801,119.882,118.794,0.985,0.990,0.926,146.000,1466.000,0.701,2.000,23
26,11528.000,931096.624,395.647,124.483,121.276,121.034,0.984,0.998,0.925,150.000,2266.000,0.713,0.000,25
27,12392.000,1037709.774,408.818,129.769,127.170,124.085,0.987,0.976,0.932,162.000,164.000,0.734,0.000,26
28,11856.000,971115.948,403.848,127.201,124.501,121.280,0.982,0.974,0.914,178.000,998.000,0.729,0.000,28
29,16388.000,1578166.183,473.103,148.930,145.697,143.221,0.986,0.983,0.920,184.000,1154.000,0.762,0.000,27
30,12284.000,1024173.447,410.475,129.769,126.764,123.411,0.983,0.973,0.916,180.000,2044.000,0.729,0.000,29
31,10464.000,805212.293,377.990,123.693,121.941,109.550,0.983,0.896,0.920,196.000,1834.000,0.345,59.397,21
34,11372.000,912260.933,393.505,125.634,122.492,118.216,0.983,0.965,0.923,236.000,2380.000,0.722,2.000,32
35,11904.000,977019.378,401.990,126.317,123.817,122.414,0.983,0.989,0.926,242.000,844.000,0.723,0.000,33
36,11380.000,913223.741,393.019,124.483,122.052,118.753,0.985,0.973,0.926,244.000,2518.000,0.722,0.000,35
37,11908.000,977511.869,400.333,126.317,123.307,122.961,0.986,0.997,0.934,244.000,1678.000,0.737,2.000,34
38,11376.000,912742.295,393.019,126.143,122.259,118.552,0.984,0.969,0.925,256.000,1288.000,0.723,0.000,36
39,11080.000,877351.132,385.505,123.548,120.826,116.762,0.987,0.966,0.937,272.000,1534.000,0.710,0.000,37
40,11388.000,914186.888,393.505,124.193,121.228,119.609,0.983,0.987,0.924,282.000,2798.000,0.725,0.000,38
41,10732.000,836343.712,381.505,121.803,118.240,115.577,0.984,0.977,0.927,294.000,2252.000,0.721,0.000,40
42,12332.000,1030182.278,409.990,129.244,126.298,124.334,0.983,0.984,0.922,300.000,2652.000,0.718,0.000,39
43,11600.000,939833.203,396.333,125.539,122.859,120.218,0.984,0.978,0.928,302.000,1950.000,0.727,2.000,41
44,11320.000,906010.937,392.333,123.693,120.603,119.517,0.983,0.991,0.924,310.000,2106.000,0.722,2.000,42
45,12032.000,992820.041,404.333,127.953,124.914,122.671,0.983,0.982,0.925,338.000,186.000,0.724,0.000,43
46,10972.000,864554.745,383.848,122.654,119.371,117.033,0.986,0.980,0.936,342.000,1782.000,0.721,0.000,44
47,10964.000,863609.360,385.505,121.852,118.910,117.416,0.984,0.987,0.927,346.000,948.000,0.727,0.000,46
48,10276.000,783609.953,372.534,118.474,115.569,113.230,0.985,0.980,0.930,346.000,1086.000,0.727,0.000,47
51,12088.000,999759.356,405.990,127.389,124.385,123.748,0.985,0.995,0.922,366.000,742.000,0.732,2.000,49
52,10604.000,821425.875,378.676,121.277,118.496,113.958,0.984,0.962,0.929,380.000,2482.000,0.742,2.000,50
53,11744.000,957387.745,397.505,126.143,123.277,121.303,0.986,0.984,0.934,394.000,1306.000,0.732,0.000,51
54,11684.000,950060.195,397.505,125.936,123.011,120.936,0.984,0.983,0.929,396.000,1598.000,0.722,2.000,52
55,11712.000,953477.383,399.647,128.950,126.859,117.672,0.984,0.927,0.921,420.000,2316.000,0.371,58.822,53
56,10928.000,859359.396,386.676,122.000,119.202,116.743,0.981,0.979,0.918,424.000,2802.000,0.738,0.000,54
57,11048.000,873553.079,387.848,122.262,119.331,117.889,0.983,0.988,0.923,436.000,1890.000,0.705,0.000,55
58,12504.000,1051809.884,412.818,129.769,126.869,125.503,0.984,0.989,0.922,444.000,474.000,0.734,2.000,56
59,12156.000,1008207.299,405.990,128.577,124.984,123.854,0.984,0.991,0.927,452.000,2064.000,0.738,2.828,57
60,10948.000,861719.624,386.676,122.000,119.388,116.762,0.983,0.978,0.920,472.000,846.000,0.705,0.000,58
61,10100.000,763564.732,372.818,121.277,120.073,107.604,0.982,0.892,0.913,474.000,1736.000,0.335,56.036,61
63,10652.000,827009.573,379.848,120.333,118.139,114.805,0.983,0.972,0.928,478.000,1416.000,0.710,0.000,59
64,11888.000,975050.243,400.333,128.281,124.770,121.337,0.986,0.972,0.932,480.000,1136.000,0.729,0.000,60
65,11316.000,905530.762,392.333,123.223,120.557,119.515,0.984,0.991,0.924,482.000,128.000,0.766,0.000,63
66,10784.000,842429.602,384.818,125.539,125.083,110.284,0.985,0.878,0.915,486.000,2218.000,0.341,59.363,53
67,11396.000,915150.373,391.848,124.193,121.298,119.627,0.986,0.986,0.933,488.000,2640.000,0.723,2.000,65
68,11976.000,985896.855,402.676,128.016,124.850,122.141,0.985,0.978,0.928,488.000,990.000,0.724,0.000,64
70,5452.000,302829.076,271.765,86.925,84.420,82.231,0.976,0.974,0.928,508.000,254.000,0.628,2.828,67
71,11540.000,932550.831,396.333,125.539,122.431,120.032,0.984,0.980,0.923,522.000,2500.000,0.724,0.000,68
72,11208.000,892598.153,389.505,122.931,119.499,119.426,0.984,0.999,0.928,536.000,682.000,0.729,2.000,70
73,12132.000,1005222.967,405.990,128.156,125.465,123.125,0.984,0.981,0.925,534.000,1270.000,0.726,0.000,69
74,11244.000,896902.131,391.647,127.264,125.586,114.248,0.985,0.908,0.921,534.000,1648.000,0.373,50.478,61
75,11112.000,881154.674,389.019,123.434,120.291,117.668,0.983,0.978,0.923,558.000,2764.000,0.718,2.000,71
76,11940.000,981454.771,403.161,127.122,124.138,122.472,0.984,0.987,0.923,564.000,1960.000,0.732,0.000,72
77,11576.000,936917.989,396.333,126.143,123.077,119.760,0.984,0.973,0.926,564.000,2358.000,0.720,0.000,73
78,11692.000,951036.117,397.505,125.634,122.553,121.481,0.986,0.991,0.930,576.000,534.000,0.723,0.000,74
79,11432.000,919490.240,395.161,124.788,121.966,119.348,0.983,0.978,0.920,578.000,1512.000,0.746,0.000,75
80,4296.000,211816.706,238.794,78.102,75.575,72.377,0.979,0.958,0.947,568.000,2082.000,0.604,2.000,77
81,12008.000,989850.984,401.990,127.953,124.834,122.511,0.987,0.981,0.934,590.000,1818.000,0.725,2.000,76
83,11848.000,970133.203,403.161,126.270,123.124,122.544,0.981,0.995,0.916,610.000,910.000,0.752,0.000,79
84,11096.000,879252.218,388.333,122.262,119.377,118.359,0.984,0.991,0.925,626.000,2186.000,0.705,2.000,80
85,11584.000,937889.391,397.990,125.539,123.058,119.862,0.982,0.974,0.919,638.000,402.000,0.703,0.000,81
