cLabel,cArea,cVolum,cPerim,cFeret,cMajor,cMinor,cSolid,cRound,cCircl,cY,cX,csRatio,csDist,c_sLabel
15,11236.000,895945.095,390.676,123.548,120.512,118.721,0.983,0.985,0.925,70.000,2090.000,0.744,2.000,17
16,10716.000,834474.092,382.676,120.830,117.804,115.840,0.982,0.983,0.920,76.000,1696.000,0.743,0.000,18
17,12092.000,1000255.638,407.161,128.996,126.506,121.788,0.982,0.962,0.917,84.000,2512.000,0.726,0.000,19
18,11092.000,878776.818,389.019,122.654,120.007,117.743,0.983,0.981,0.921,94.000,666.000,0.737,2.000,20
19,12184.000,1011692.745,407.161,128.950,125.526,123.592,0.985,0.985,0.924,104.000,520.000,0.718,2.000,21
20,11652.000,946159.848,399.161,125.539,122.827,120.795,0.982,0.983,0.919,104.000,934.000,0.752,2.000,22
21,10736.000,836811.335,381.505,121.491,118.114,115.736,0.983,0.980,0.927,130.000,798.000,0.731,0.000,23
22,11144.000,884963.697,386.676,122.931,119.915,118.353,0.986,0.987,0.937,174.000,1598.000,0.514,25.060,24
23,10876.000,853232.911,384.333,121.754,118.719,116.649,0.984,0.983,0.925,194.000,1892.000,0.726,0.000,25
24,11156.000,886393.492,388.333,123.483,120.589,117.813,0.986,0.977,0.930,196.000,2164.000,0.748,2.000,26
25,11796.000,963753.451,399.161,126.317,123.220,121.891,0.985,0.989,0.930,208.000,1458.000,0.732,0.000,27
26,11012.000,869286.839,389.505,125.634,123.341,113.868,0.983,0.922,0.912,218.000,616.000,0.704,0.000,28
27,12260.000,1021173.428,407.161,129.244,126.277,123.640,0.986,0.979,0.929,220.000,2470.000,0.755,2.828,29
28,12572.000,1060401.562,415.647,131.939,129.139,124.032,0.984,0.960,0.914,248.000,2610.000,0.825,2.828,30
29,11272.000,900254.437,390.676,124.531,121.533,118.107,0.984,0.972,0.928,250.000,448.000,0.736,2.000,31
30,11696.000,951524.203,397.505,125.539,122.709,121.367,0.986,0.989,0.930,264.000,2320.000,0.744,0.000,32
31,10828.000,847590.677,385.990,124.193,122.785,112.749,0.983,0.914,0.913,270.000,794.000,0.365,50.478,33
32,10364.000,793697.307,377.789,125.539,125.157,106.152,0.984,0.842,0.913,282.000,1772.000,0.353,53.814,34
33,15940.000,1513896.817,465.103,145.890,142.752,142.173,0.986,0.996,0.926,296.000,2046.000,0.734,2.000,35
34,11444.000,920938.383,394.676,124.354,121.050,120.385,0.982,0.994,0.923,314.000,926.000,0.742,2.000,36
36,10556.000,815854.799,382.475,124.788,123.397,109.353,0.981,0.883,0.907,330.000,708.000,0.356,54.406,33
37,11568.000,935946.922,397.990,124.740,121.654,121.086,0.982,0.995,0.918,330.000,1548.000,0.703,0.000,38
38,10548.000,814927.516,377.019,120.333,117.427,114.381,0.985,0.974,0.933,336.000,1898.000,0.722,0.000,39
