cLabel,cArea,cVolum,cPerim,cFeret,cMajor,cMinor,cSolid,cRound,cCircl,cY,cX,csRatio,csDist,c_sLabel
23,8520.000,591593.226,339.362,110.073,106.786,101.629,0.982,0.951,0.930,64.000,982.000,0.738,2.000,22
25,8928.000,634592.701,348.534,110.725,107.958,105.300,0.980,0.975,0.924,76.000,1900.000,0.713,0.000,24
26,8780.000,618878.755,343.362,110.145,107.207,104.335,0.985,0.973,0.936,82.000,1102.000,0.749,2.828,25
27,8780.000,618878.755,344.049,109.252,106.307,105.169,0.983,0.989,0.932,88.000,1776.000,0.733,2.000,26
28,5868.000,338141.876,280.936,91.236,88.244,84.672,0.980,0.959,0.934,92.000,1434.000,0.729,0.000,28
29,9096.000,652588.592,349.220,111.140,107.904,107.348,0.984,0.995,0.937,94.000,2460.000,0.730,2.828,27
30,9024.000,644855.533,348.049,111.086,108.222,106.173,0.984,0.981,0.936,108.000,664.000,0.704,0.000,29
31,8628.000,602877.402,341.220,108.462,105.515,104.129,0.983,0.987,0.931,108.000,2584.000,0.743,2.000,31
33,8728.000,613388.892,345.706,109.252,106.432,104.443,0.979,0.981,0.918,112.000,790.000,0.720,0.000,32
34,9088.000,651727.847,351.362,113.031,110.646,104.663,0.981,0.945,0.925,120.000,1222.000,0.758,2.000,33
35,9012.000,643569.679,348.049,110.309,107.416,106.829,0.984,0.994,0.935,126.000,280.000,0.715,0.000,34
37,8732.000,613810.610,342.877,108.849,106.102,104.789,0.984,0.988,0.933,128.000,536.000,0.693,0.000,35
38,9044.000,647000.522,350.191,111.086,108.299,106.334,0.982,0.982,0.927,134.000,2156.000,0.710,0.000,37
39,9228.000,666845.430,352.534,112.925,110.348,106.474,0.983,0.965,0.933,136.000,408.000,0.742,2.000,38
40,9064.000,649147.884,351.362,111.086,107.792,107.066,0.979,0.993,0.923,138.000,2300.000,0.728,0.000,39
41,8660.000,606234.487,344.049,109.252,106.550,103.557,0.980,0.971,0.919,142.000,1546.000,0.705,0.000,40
42,9520.000,698745.820,358.191,114.018,111.591,108.658,0.985,0.973,0.932,158.000,906.000,0.749,2.000,41
43,8848.000,626082.365,345.706,109.636,106.846,105.435,0.983,0.987,0.930,168.000,1994.000,0.738,2.000,42
44,8240.000,562671.111,333.220,106.733,104.477,100.440,0.982,0.961,0.933,178.000,1028.000,0.719,0.000,43
45,8800.000,620994.578,344.049,109.636,106.863,104.857,0.983,0.981,0.934,190.000,1704.000,0.731,2.000,45
46,8580.000,597853.439,342.191,109.124,107.102,102.087,0.980,0.952,0.921,192.000,1314.000,0.709,2.000,44
48,8832.000,624384.899,346.877,110.073,106.929,105.185,0.981,0.984,0.922,200.000,1830.000,0.783,2.000,46
49,9096.000,652588.592,349.706,111.086,108.289,106.947,0.984,0.988,0.935,208.000,1438.000,0.738,0.000,48
50,9184.000,662081.744,352.534,111.140,108.574,107.698,0.982,0.992,0.929,208.000,2696.000,0.750,2.000,50
51,8612.000,601201.191,341.706,108.462,105.898,103.561,0.980,0.978,0.927,210.000,2414.000,0.708,2.000,49
52,9004.000,642712.919,349.706,111.140,108.421,105.872,0.981,0.975,0.925,220.000,1144.000,0.718,0.000,51
53,8904.000,632035.580,346.877,110.073,107.407,105.575,0.983,0.983,0.930,224.000,736.000,0.708,0.000,52
55,8884.000,629907.276,344.534,110.309,107.163,105.555,0.985,0.985,0.940,246.000,314.000,0.735,0.000,54
56,9116.000,654742.112,350.191,111.086,108.196,107.285,0.983,0.992,0.934,244.000,2092.000,0.752,2.000,53
57,8788.000,619724.795,345.706,108.683,105.930,105.633,0.982,0.997,0.924,248.000,586.000,0.727,2.000,55
58,8288.000,567594.808,334.877,105.906,103.301,102.153,0.981,0.989,0.929,250.000,86.000,0.730,2.000,56
59,8648.000,604974.852,342.877,108.259,105.453,104.419,0.980,0.990,0.924,250.000,2218.000,0.761,2.000,57
60,8512.000,590760.192,338.392,107.703,105.428,102.814,0.983,0.975,0.934,252.000,1590.000,0.726,2.000,58
61,8844.000,625657.855,345.220,110.018,107.006,105.249,0.984,0.983,0.933,258.000,438.000,0.717,0.000,60
62,8856.000,626931.674,346.392,109.417,106.765,105.625,0.983,0.989,0.927,256.000,2534.000,0.709,0.000,59
63,8304.000,569239.215,334.392,107.424,104.109,101.598,0.982,0.975,0.933,264.000,856.000,0.714,2.000,61
64,8372.000,576245.610,336.049,107.201,104.703,101.807,0.984,0.972,0.932,284.000,1944.000,0.721,0.000,62
65,8928.000,634592.701,347.362,111.571,108.515,104.811,0.982,0.965,0.930,290.000,976.000,0.717,0.000,63
66,9032.000,645713.243,349.706,110.309,107.567,106.915,0.982,0.994,0.928,310.000,206.000,0.734,2.000,64
67,9100.000,653019.107,350.877,111.803,109.033,106.284,0.983,0.975,0.929,314.000,1702.000,0.746,0.000,66
68,8788.000,619724.795,345.220,109.252,106.478,105.085,0.981,0.987,0.927,314.000,2330.000,0.716,0.000,65
69,8760.000,616765.339,344.534,110.923,108.586,102.818,0.983,0.946,0.927,314.000,1302.000,0.712,2.000,67
70,8848.000,626082.365,345.706,109.252,106.319,105.973,0.983,0.997,0.930,324.000,1826.000,0.740,0.000,68
71,8840.000,625233.440,345.706,109.563,106.821,105.393,0.982,0.986,0.929,328.000,1478.000,0.713,2.000,69
73,8960.000,638007.545,347.362,111.086,108.008,105.632,0.984,0.978,0.933,340.000,1132.000,0.740,0.000,71
74,9136.000,656897.995,352.049,112.161,109.174,106.614,0.982,0.976,0.926,346.000,762.000,0.738,0.000,72
75,9148.000,658192.659,352.534,111.140,108.260,107.596,0.981,0.994,0.925,348.000,2724.000,0.721,2.000,73
76,8776.000,618455.879,346.877,112.925,108.349,103.489,0.980,0.952,0.917,356.000,520.000,0.722,0.000,74
77,9052.000,647859.182,349.706,111.427,108.734,106.019,0.982,0.975,0.930,360.000,640.000,0.733,0.000,75
78,9144.000,657761.010,352.534,111.427,108.891,106.921,0.982,0.982,0.925,362.000,2046.000,0.742,0.000,76
79,9020.000,644426.820,350.191,110.923,107.962,106.380,0.981,0.985,0.924,366.000,370.000,0.710,0.000,77
80,8760.000,616765.339,345.706,109.252,106.559,104.676,0.979,0.982,0.921,370.000,2594.000,0.721,2.000,78
81,8760.000,616765.339,345.220,110.073,107.099,104.181,0.980,0.972,0.924,372.000,2218.000,0.716,0.000,79
82,8800.000,620994.578,345.706,109.636,106.696,105.018,0.982,0.984,0.925,374.000,2460.000,0.748,0.000,80
83,8832.000,624384.899,346.877,110.073,106.878,105.251,0.979,0.984,0.922,374.000,86.000,0.772,2.828,82
84,8924.000,634166.275,347.563,111.571,109.170,104.157,0.983,0.953,0.928,372.000,1592.000,0.739,2.000,81
85,8752.000,615920.648,345.706,110.309,108.690,102.591,0.982,0.943,0.920,380.000,888.000,0.712,0.000,83
86,8872.000,628631.443,345.706,110.309,107.198,105.396,0.983,0.983,0.933,404.000,1016.000,0.740,0.000,84
87,5900.000,340911.630,282.593,90.708,88.124,85.249,0.977,0.967,0.928,408.000,264.000,0.768,2.000,86
88,8844.000,625657.855,344.534,111.086,107.787,104.471,0.984,0.969,0.936,414.000,1372.000,0.730,0.000,85
89,8724.000,612967.270,342.877,109.252,106.031,104.775,0.983,0.988,0.932,430.000,1884.000,0.731,2.000,87
91,8952.000,637153.261,348.534,110.725,107.373,106.171,0.981,0.989,0.926,438.000,1210.000,0.767,0.000,88
92,8800.000,620994.578,344.049,110.164,106.983,104.736,0.984,0.979,0.934,438.000,1696.000,0.754,0.000,89
93,9256.000,669882.788,353.706,111.893,108.947,108.179,0.983,0.993,0.930,452.000,2342.000,0.745,2.000,91
94,8940.000,635872.552,348.534,110.145,107.278,106.113,0.981,0.989,0.925,466.000,480.000,0.755,0.000,92
95,8880.000,629481.903,346.392,112.925,111.009,101.977,0.984,0.917,0.930,470.000,778.000,0.721,0.000,93
96,8956.000,637580.356,348.534,110.309,107.534,106.051,0.981,0.986,0.926,478.000,2730.000,0.732,2.000,94
97,7624.000,500769.802,320.735,102.157,99.327,97.736,0.980,0.984,0.931,484.000,1554.000,0.699,0.000,95
98,9032.000,645713.243,349.019,110.635,107.454,107.037,0.983,0.996,0.932,488.000,184.000,0.723,0.000,96
99,8804.000,621418.032,344.534,109.636,106.876,104.889,0.983,0.981,0.932,490.000,2188.000,0.748,2.000,97
100,8952.000,637153.261,347.362,110.309,107.986,105.586,0.983,0.977,0.932,492.000,358.000,0.712,0.000,98
101,8996.000,641856.540,348.534,110.309,107.273,106.782,0.982,0.995,0.931,490.000,2058.000,0.710,0.000,99
102,8804.000,621418.032,345.706,109.252,106.188,105.567,0.980,0.994,0.926,494.000,2504.000,0.703,0.000,101
104,8956.000,637580.356,348.049,111.893,108.698,104.938,0.983,0.965,0.929,494.000,930.000,0.723,0.000,100
105,10596.000,820496.485,428.818,143.136,137.852,103.528,0.930,0.710,0.724,500.000,1088.000,0.793,4.000,103
107,8876.000,629056.625,345.706,109.636,106.523,106.104,0.983,0.996,0.933,518.000,1794.000,0.731,0.000,104
108,9252.000,669448.598,354.191,112.178,109.529,107.584,0.983,0.982,0.927,520.000,1302.000,0.726,0.000,105
109,8900.000,631609.728,346.191,111.427,109.518,103.507,0.985,0.945,0.933,522.000,1432.000,0.693,0.000,106
