sLabel,sArea,sVolum,sPerim,sFeret,sMajor,sMinor,sSolid,sRound,sCircl,sY,sX,sCore,s_cLabel,s_cArea,s_cVolum,s_cPerim,s_cFeret,s_cMajor,s_cMinor,s_cSolid,s_cRound,s_cCircl,s_csRatio,s_csDist
16,13672.000,1202574.179,434.960,136.894,133.651,130.301,0.982,0.975,0.908,86.000,1060.000,1,[16],9784.000,728011.880,363.362,115.551,112.599,110.644,0.984,0.983,0.931,0.716,0.000
17,14012.000,1247710.969,438.475,137.768,134.733,132.444,0.984,0.983,0.916,92.000,2658.000,1,[17],9988.000,750899.129,366.191,116.362,113.340,112.202,0.985,0.990,0.936,0.713,0.000
18,11600.000,939833.203,399.647,125.936,122.694,120.431,0.983,0.981,0.913,96.000,1372.000,1,[18],11032.000,871656.113,388.333,122.376,119.766,117.311,0.983,0.979,0.919,0.951,2.000
19,11444.000,920938.383,394.191,126.016,122.230,119.297,0.984,0.975,0.925,94.000,2118.000,1,[19],9368.000,682078.128,354.877,112.925,109.819,108.610,0.985,0.989,0.935,0.819,0.000
20,12224.000,1016678.904,408.818,128.950,126.258,123.292,0.983,0.976,0.919,98.000,192.000,1,[20],10280.000,784067.536,371.362,119.331,116.869,112.065,0.986,0.958,0.937,0.841,4.000
21,13512.000,1181525.924,429.304,135.248,131.313,131.063,0.983,0.998,0.921,102.000,1194.000,1,[21],9628.000,710669.902,362.191,114.140,111.293,110.153,0.982,0.990,0.922,0.713,0.000
22,8236.000,562261.449,335.563,106.508,103.656,101.280,0.980,0.976,0.919,106.000,708.000,1,[22],5640.000,318626.913,274.108,87.727,84.763,84.718,0.982,0.999,0.943,0.685,0.000
23,14104.000,1260019.450,439.446,138.752,135.137,132.956,0.984,0.983,0.918,146.000,434.000,1,[24],10668.000,828873.607,381.505,121.078,117.926,115.186,0.982,0.977,0.921,0.756,0.000
24,13076.000,1124802.229,420.818,133.282,129.816,128.271,0.985,0.988,0.928,146.000,1946.000,1,[25],9692.000,717767.696,362.191,114.543,111.551,110.626,0.983,0.992,0.928,0.741,0.000
25,11488.000,926254.734,399.161,125.634,122.177,119.826,0.981,0.980,0.906,142.000,2520.000,1,[23],10972.000,864554.745,385.505,122.115,119.112,117.293,0.985,0.985,0.928,0.955,0.000
26,15076.000,1392492.913,454.960,143.680,139.779,137.373,0.984,0.982,0.915,162.000,570.000,1,[27],10924.000,858887.609,385.505,121.672,118.873,117.015,0.983,0.984,0.924,0.725,2.828
27,12984.000,1112952.324,422.475,133.821,131.078,126.150,0.982,0.962,0.914,156.000,1760.000,1,[26],10232.000,778582.427,372.534,118.186,115.505,112.811,0.983,0.976,0.926,0.788,4.000
28,13420.000,1169479.394,428.132,136.308,131.988,129.559,0.984,0.981,0.920,168.000,2770.000,1,[28],9760.000,725334.821,365.019,114.612,111.810,111.150,0.981,0.994,0.921,0.727,2.828
29,13556.000,1187301.839,431.446,135.440,132.940,129.889,0.982,0.977,0.915,176.000,2296.000,1,[29],10076.000,760844.733,367.362,116.619,113.507,113.027,0.986,0.996,0.938,0.743,2.000
30,12872.000,1098582.931,419.647,131.469,128.085,127.985,0.983,0.999,0.919,178.000,964.000,1,[30],9116.000,654742.112,350.877,111.086,108.104,107.371,0.983,0.993,0.930,0.708,2.828
31,12100.000,1001248.448,407.161,128.825,125.768,122.540,0.983,0.974,0.917,186.000,1534.000,1,[31],9484.000,694786.095,357.706,116.362,112.475,107.416,0.983,0.955,0.931,0.784,2.000
33,12324.000,1029179.992,410.475,130.920,128.070,122.688,0.984,0.957,0.919,204.000,1278.000,1,[34],9704.000,719101.148,360.534,114.909,111.898,110.416,0.985,0.987,0.938,0.787,2.828
35,12776.000,1086315.947,417.990,131.210,128.441,126.661,0.983,0.986,0.919,242.000,2074.000,1,[35],9340.000,679022.421,356.534,112.872,110.119,107.992,0.980,0.981,0.923,0.731,2.000
36,11968.000,984909.147,406.676,130.000,125.005,121.969,0.980,0.975,0.909,270.000,2426.000,1,[36],11052.000,874027.535,385.505,123.223,120.581,116.772,0.987,0.968,0.935,0.923,4.472
37,12920.000,1104733.619,418.676,133.462,128.725,127.863,0.986,0.993,0.926,274.000,648.000,1,[37],9596.000,707129.832,359.362,114.543,111.653,109.440,0.984,0.980,0.934,0.743,0.000
38,12332.000,1030182.278,409.505,129.321,126.279,124.386,0.984,0.985,0.924,280.000,428.000,1,[39],10072.000,760391.714,371.161,118.878,115.487,111.115,0.981,0.962,0.919,0.817,2.000
39,12588.000,1062426.517,416.132,130.614,127.378,125.860,0.984,0.988,0.913,280.000,1928.000,1,[40],9172.000,660784.534,353.019,112.588,108.608,107.556,0.981,0.990,0.925,0.729,2.000
40,12128.000,1004725.865,411.161,128.996,125.340,123.295,0.979,0.983,0.902,284.000,2608.000,1,[38],10568.000,817246.383,381.019,122.654,119.634,112.547,0.981,0.940,0.915,0.871,2.000
41,12780.000,1086826.154,417.990,133.417,130.431,124.785,0.983,0.956,0.919,300.000,236.000,1,[41],10228.000,778125.915,371.848,118.457,115.972,112.359,0.984,0.968,0.930,0.800,2.828
42,12516.000,1053324.369,414.475,131.848,128.454,124.132,0.982,0.966,0.916,298.000,2742.000,1,[42],10308.000,787273.105,373.019,122.262,119.523,109.896,0.985,0.919,0.931,0.824,2.828
44,13772.000,1215792.112,434.960,138.578,133.912,130.978,0.985,0.978,0.915,326.000,1216.000,1,[45],10128.000,766742.152,370.191,116.619,114.029,113.098,0.983,0.992,0.929,0.735,0.000
45,12196.000,1013187.735,409.990,130.000,126.767,122.560,0.983,0.966,0.912,326.000,1004.000,1,[44],9608.000,708456.667,362.191,115.551,112.303,109.022,0.982,0.970,0.920,0.788,2.828
46,12024.000,991830.026,405.304,129.244,125.656,121.905,0.983,0.970,0.920,330.000,1538.000,1,[46],10136.000,767650.793,373.019,118.068,115.476,111.881,0.982,0.968,0.915,0.843,2.828
47,12820.000,1091932.615,419.647,132.484,129.586,125.980,0.982,0.972,0.915,332.000,1796.000,1,[47],9356.000,680767.979,354.877,112.925,109.962,108.350,0.985,0.985,0.934,0.730,2.000
