cLabel,cArea,cVolum,cPerim,cFeret,cMajor,cMinor,cSolid,cRound,cCircl,cY,cX,csRatio,csDist,c_sLabel
18,8948.000,636726.263,348.534,110.073,107.083,106.394,0.982,0.994,0.926,66.000,760.000,0.693,2.000,19
19,9384.000,683826.299,358.191,112.178,109.739,108.880,0.980,0.992,0.919,78.000,2802.000,0.735,2.000,20
20,8732.000,613810.610,344.049,109.636,106.542,104.351,0.981,0.979,0.927,80.000,270.000,0.722,0.000,22
21,8964.000,638434.830,348.049,109.636,106.980,106.690,0.983,0.997,0.930,84.000,142.000,0.711,0.000,21
22,8844.000,625657.855,346.191,110.073,106.811,105.445,0.982,0.987,0.927,88.000,2348.000,0.709,0.000,23
23,9008.000,643141.252,346.877,110.454,107.716,106.475,0.985,0.989,0.941,96.000,2116.000,0.695,0.000,24
24,9192.000,662947.022,353.706,111.803,108.754,107.619,0.980,0.990,0.923,106.000,1166.000,0.709,0.000,26
25,8940.000,635872.552,348.534,110.073,107.032,106.353,0.979,0.994,0.925,104.000,1982.000,0.708,0.000,25
26,9048.000,647429.804,349.706,110.635,107.780,106.890,0.983,0.992,0.930,112.000,2506.000,0.716,0.000,27
27,9272.000,671620.486,353.706,111.893,108.735,108.570,0.983,0.998,0.931,146.000,1858.000,0.737,0.000,30
28,9040.000,646571.334,349.706,110.309,107.552,107.017,0.983,0.995,0.929,148.000,864.000,0.696,0.000,28
29,9044.000,647000.522,348.049,110.309,107.445,107.174,0.986,0.997,0.938,148.000,1724.000,0.703,0.000,29
30,8844.000,625657.855,346.877,109.563,106.587,105.652,0.980,0.991,0.924,148.000,2628.000,0.733,0.000,31
31,9144.000,657761.010,352.049,111.086,108.300,107.511,0.982,0.993,0.927,158.000,1400.000,0.709,0.000,32
32,9000.000,642284.682,346.877,110.725,107.961,106.141,0.985,0.983,0.940,162.000,2244.000,0.731,0.000,34
33,9064.000,649147.884,350.191,110.454,107.850,107.008,0.982,0.992,0.929,164.000,366.000,0.713,0.000,33
34,8904.000,632035.580,346.877,110.309,107.297,105.658,0.982,0.985,0.930,164.000,494.000,0.731,0.000,35
35,7884.000,526603.479,325.907,103.788,100.915,99.488,0.982,0.986,0.933,168.000,1558.000,0.717,0.000,37
36,9152.000,658624.402,350.877,112.161,108.868,107.037,0.983,0.983,0.934,172.000,1002.000,0.705,0.000,36
38,9200.000,663812.676,353.706,111.803,109.093,107.380,0.982,0.984,0.924,178.000,1272.000,0.721,2.828,38
40,9040.000,646571.334,348.049,110.454,107.654,106.922,0.986,0.993,0.938,200.000,624.000,0.731,0.000,41
41,9356.000,680767.979,354.877,112.161,109.521,108.771,0.984,0.993,0.934,206.000,2778.000,0.731,0.000,42
42,8832.000,624384.899,345.706,109.636,106.620,105.471,0.981,0.989,0.929,208.000,2376.000,0.707,2.000,43
43,9100.000,653019.107,349.706,111.140,108.697,106.594,0.984,0.981,0.935,214.000,182.000,0.705,2.828,44
44,9144.000,657761.010,351.362,111.086,108.164,107.635,0.983,0.995,0.931,214.000,2066.000,0.719,2.000,45
45,8664.000,606654.559,341.706,108.259,105.534,104.525,0.983,0.990,0.932,234.000,1152.000,0.698,0.000,46
46,9320.000,676842.575,355.362,112.588,109.555,108.318,0.981,0.989,0.927,256.000,2514.000,0.710,0.000,47
47,9160.000,659488.172,353.706,111.140,108.547,107.459,0.980,0.990,0.920,258.000,1924.000,0.701,0.000,48
48,8964.000,638434.830,349.706,110.725,108.116,105.575,0.980,0.976,0.921,264.000,734.000,0.720,0.000,49
49,8968.000,638862.210,346.877,110.145,107.160,106.549,0.984,0.994,0.937,276.000,1714.000,0.717,2.000,50
50,9180.000,661649.246,353.706,112.161,109.155,107.097,0.980,0.981,0.922,284.000,1432.000,0.716,0.000,51
51,9184.000,662081.744,353.019,111.463,108.471,107.810,0.981,0.994,0.926,288.000,940.000,0.713,2.000,52
52,9208.000,664678.707,352.534,111.893,108.976,107.584,0.983,0.987,0.931,288.000,2234.000,0.730,0.000,53
53,8820.000,623112.808,345.220,110.309,107.232,104.730,0.983,0.977,0.930,290.000,380.000,0.730,2.000,54
55,8804.000,621418.032,345.706,110.145,107.470,104.305,0.981,0.971,0.926,300.000,1556.000,0.742,0.000,55
57,9136.000,656897.995,350.877,111.086,108.464,107.251,0.984,0.989,0.933,310.000,1258.000,0.692,0.000,57
58,8716.000,612124.317,344.049,108.849,105.637,105.059,0.980,0.994,0.925,324.000,248.000,0.727,0.000,60
