sLabel,sArea,sVolum,sPerim,sFeret,sMajor,sMinor,sSolid,sRound,sCircl,sY,sX,sCore,s_cLabel,s_cArea,s_cVolum,s_cPerim,s_cFeret,s_cMajor,s_cMinor,s_cSolid,s_cRound,s_cCircl,s_csRatio,s_csDist
10,14560.000,1321617.750,452.617,143.402,140.413,132.092,0.980,0.940,0.893,100.000,1094.000,1,[10],10340.000,790941.947,373.019,120.748,117.545,112.017,0.986,0.953,0.934,0.710,0.000
11,8816.000,622688.969,354.534,110.635,106.154,105.845,0.970,0.996,0.881,92.000,1470.000,1,[9],5628.000,317610.560,274.593,88.769,86.136,83.255,0.980,0.966,0.938,0.638,2.828
12,16912.000,1654459.937,531.446,179.878,163.398,136.185,0.950,0.807,0.752,120.000,2588.000,1,[11],11768.000,960324.016,399.161,126.649,123.233,121.623,0.985,0.987,0.928,0.696,5.657
13,15160.000,1404147.083,459.446,143.178,139.299,138.608,0.981,0.995,0.902,138.000,958.000,1,[12],10540.000,814000.584,377.505,120.017,116.929,114.776,0.984,0.982,0.929,0.695,0.000
14,14784.000,1352233.625,450.274,142.773,138.527,135.908,0.985,0.981,0.916,146.000,1362.000,1,[13],11176.000,888778.192,387.848,123.693,120.874,117.738,0.986,0.974,0.934,0.756,0.000
15,15168.000,1405258.692,458.274,144.222,139.862,138.149,0.983,0.987,0.908,158.000,654.000,1,[14],11004.000,868339.731,387.161,122.654,119.741,117.034,0.983,0.977,0.923,0.725,0.000
16,14588.000,1325431.941,448.132,142.688,137.485,135.195,0.984,0.983,0.913,162.000,2454.000,1,[15],10884.000,854174.496,385.505,121.672,118.750,116.738,0.983,0.983,0.920,0.746,2.000
17,16948.000,1659745.437,486.274,152.643,147.974,145.908,0.982,0.986,0.901,168.000,1936.000,1,[17],13276.000,1150706.764,426.960,136.308,132.031,128.110,0.983,0.970,0.915,0.783,2.828
18,15744.000,1486060.265,464.416,147.363,143.900,139.380,0.984,0.968,0.917,168.000,1564.000,1,[16],12148.000,1007212.194,408.132,129.074,125.523,123.267,0.982,0.982,0.916,0.772,0.000
19,16584.000,1606562.901,479.931,152.315,147.218,143.562,0.984,0.974,0.905,188.000,118.000,1,[18],12768.000,1085295.772,419.161,132.740,129.452,125.688,0.982,0.970,0.913,0.770,2.828
20,15440.000,1443227.330,462.274,144.941,140.247,140.212,0.982,0.999,0.908,192.000,1204.000,1,[19],11132.000,883534.672,386.676,123.483,119.847,118.271,0.985,0.987,0.936,0.721,0.000
21,16548.000,1601334.530,479.730,151.327,147.643,142.873,0.981,0.967,0.904,202.000,2074.000,1,[20],12444.000,1044248.365,411.647,130.614,127.627,124.185,0.984,0.973,0.923,0.752,0.000
