sLabel,sArea,sVolum,sPerim,sFeret,sMajor,sMinor,sSolid,sRound,sCircl,sY,sX,sCore,s_cLabel,s_cArea,s_cVolum,s_cPerim,s_cFeret,s_cMajor,s_cMinor,s_cSolid,s_cRound,s_cCircl,s_csRatio,s_csDist
17,15104.000,1396374.038,458.960,145.231,141.791,135.793,0.977,0.957,0.901,72.000,2090.000,1,[15],11236.000,895945.095,390.676,123.548,120.512,118.721,0.983,0.985,0.925,0.744,2.000
18,14420.000,1302601.851,446.960,141.873,136.393,134.682,0.983,0.987,0.907,76.000,1696.000,1,[16],10716.000,834474.092,382.676,120.830,117.804,115.840,0.982,0.983,0.920,0.743,0.000
19,16660.000,1617619.211,478.073,151.539,148.099,143.315,0.984,0.967,0.916,84.000,2512.000,1,[17],12092.000,1000255.638,407.161,128.996,126.506,121.788,0.982,0.962,0.917,0.726,0.000
20,15056.000,1389722.885,459.446,143.024,140.241,136.907,0.980,0.975,0.896,96.000,666.000,1,[18],11092.000,878776.818,389.019,122.654,120.007,117.743,0.983,0.981,0.921,0.737,2.000
21,16964.000,1662096.351,482.759,151.605,148.182,145.775,0.985,0.984,0.915,104.000,522.000,1,[19],12184.000,1011692.745,407.161,128.950,125.526,123.592,0.985,0.985,0.924,0.718,2.000
22,15496.000,1451086.200,462.274,144.997,141.441,139.522,0.984,0.986,0.911,104.000,936.000,1,[20],11652.000,946159.848,399.161,125.539,122.827,120.795,0.982,0.983,0.919,0.752,2.000
23,14692.000,1339630.972,448.132,141.760,137.899,135.690,0.983,0.984,0.919,130.000,798.000,1,[21],10736.000,836811.335,381.505,121.491,118.114,115.736,0.983,0.980,0.927,0.731,0.000
24,21688.000,2402664.088,686.382,209.619,198.714,148.767,0.856,0.699,0.578,196.000,1610.000,1,[22],11144.000,884963.697,386.676,122.931,119.915,118.353,0.986,0.987,0.937,0.514,25.060
25,14976.000,1378661.181,454.073,143.694,138.661,137.599,0.982,0.992,0.913,194.000,1892.000,1,[23],10876.000,853232.911,384.333,121.754,118.719,116.649,0.984,0.983,0.925,0.726,0.000
26,14912.000,1369833.058,449.789,141.662,138.847,136.769,0.986,0.985,0.926,198.000,2164.000,1,[24],11156.000,886393.492,388.333,123.483,120.589,117.813,0.986,0.977,0.930,0.748,2.000
27,16116.000,1539039.224,500.002,158.959,144.199,142.812,0.965,0.987,0.810,208.000,1458.000,1,[25],11796.000,963753.451,399.161,126.317,123.220,121.891,0.985,0.989,0.930,0.732,0.000
28,15632.000,1470231.149,471.446,150.000,146.993,135.761,0.978,0.921,0.884,218.000,616.000,1,[26],11012.000,869286.839,389.505,125.634,123.341,113.868,0.983,0.922,0.912,0.704,0.000
29,16228.000,1555110.662,471.446,148.930,145.165,142.401,0.984,0.981,0.918,222.000,2468.000,1,[27],12260.000,1021173.428,407.161,129.244,126.277,123.640,0.986,0.979,0.929,0.755,2.828
30,15248.000,1416390.891,458.759,145.134,142.006,136.773,0.983,0.963,0.910,250.000,2608.000,1,[28],12572.000,1060401.562,415.647,131.939,129.139,124.032,0.984,0.960,0.914,0.825,2.828
31,15316.000,1425876.255,456.132,144.845,141.177,138.171,0.987,0.978,0.925,252.000,448.000,1,[29],11272.000,900254.437,390.676,124.531,121.533,118.107,0.984,0.972,0.928,0.736,2.000
32,15728.000,1483795.505,465.103,145.561,142.372,140.703,0.984,0.988,0.914,264.000,2320.000,1,[30],11696.000,951524.203,397.505,125.539,122.709,121.367,0.986,0.989,0.930,0.744,0.000
33,29688.000,3848001.319,674.323,245.284,251.370,151.370,0.977,0.598,0.820,298.000,752.000,2,"[31, 36]",10692.000,831722.738,384.233,124.491,123.091,111.051,0.982,0.899,0.910,0.360,52.442
34,29364.000,3785180.755,671.294,244.573,253.348,148.942,0.976,0.582,0.819,318.000,1732.000,2,"[32, 40]",10550.000,815254.321,380.132,125.035,124.277,108.579,0.985,0.870,0.917,0.359,53.814
35,21708.000,2405988.347,544.701,170.985,166.644,165.914,0.987,0.995,0.919,298.000,2046.000,1,[33],15940.000,1513896.817,465.103,145.890,142.752,142.173,0.986,0.996,0.926,0.734,2.000
36,15428.000,1441545.138,462.073,145.121,141.096,139.272,0.983,0.987,0.908,316.000,926.000,1,[34],11444.000,920938.383,394.676,124.354,121.050,120.385,0.982,0.994,0.923,0.742,2.000
38,16452.000,1587420.014,513.115,163.169,148.273,142.144,0.963,0.953,0.785,330.000,1548.000,1,[37],11568.000,935946.922,397.990,124.740,121.654,121.086,0.982,0.995,0.918,0.703,0.000
39,14600.000,1327067.716,450.759,142.042,138.344,134.437,0.981,0.971,0.903,336.000,1898.000,1,[38],10548.000,814927.516,377.019,120.333,117.427,114.381,0.985,0.974,0.933,0.722,0.000
40,15932.000,1512757.263,474.274,148.486,143.752,141.348,0.979,0.982,0.890,342.000,560.000,1,[39],11324.000,906491.198,393.019,124.531,121.417,118.854,0.982,0.978,0.921,0.711,0.000
41,15328.000,1427552.332,458.274,144.554,141.048,138.389,0.984,0.981,0.917,364.000,2186.000,1,[42],11216.000,893553.996,387.848,124.193,121.643,117.410,0.987,0.965,0.937,0.732,0.000
42,15116.000,1398038.480,458.759,147.526,142.899,134.762,0.983,0.943,0.903,360.000,2462.000,1,[41],11384.000,913705.272,394.676,126.317,122.991,117.924,0.983,0.958,0.918,0.753,0.000
43,15408.000,1438742.938,464.416,144.997,141.171,139.025,0.980,0.984,0.898,384.000,164.000,1,[43],11480.000,925287.366,393.990,126.127,122.543,119.289,0.985,0.973,0.929,0.745,2.000
44,14980.000,1379213.566,458.759,144.069,141.027,135.299,0.981,0.959,0.894,392.000,2600.000,1,[44],10896.000,855587.522,385.505,122.197,119.565,116.043,0.983,0.970,0.921,0.727,0.000
45,16796.000,1637467.161,479.931,150.360,146.985,145.510,0.985,0.990,0.916,400.000,1314.000,1,[46],12300.000,1026175.088,408.818,128.515,125.765,124.529,0.984,0.990,0.925,0.732,2.000
46,15816.000,1496265.922,468.617,147.851,145.546,138.553,0.983,0.951,0.905,400.000,434.000,1,[45],11344.000,908893.771,394.676,125.936,124.419,116.280,0.983,0.933,0.915,0.717,0.000
47,14764.000,1349490.573,454.759,143.402,138.894,135.413,0.979,0.974,0.897,406.000,2332.000,1,[47],10440.000,802443.657,377.019,119.013,115.979,114.632,0.982,0.988,0.923,0.707,2.000
48,16196.000,1550513.145,476.617,149.265,146.760,140.608,0.981,0.957,0.896,422.000,300.000,1,[48],11720.000,954454.473,401.990,127.389,125.198,119.214,0.981,0.952,0.911,0.724,0.000
49,15156.000,1403591.389,457.588,147.580,141.741,136.360,0.984,0.961,0.910,424.000,816.000,1,[49],11208.000,892598.153,392.818,126.127,120.599,118.521,0.982,0.981,0.913,0.740,0.000
50,14632.000,1331433.068,446.274,141.365,136.916,136.111,0.985,0.994,0.923,430.000,2752.000,1,[50],11636.000,944211.682,396.333,126.649,122.933,120.533,0.985,0.980,0.931,0.795,2.000
51,15312.000,1425317.708,459.446,144.069,141.391,137.945,0.984,0.975,0.912,438.000,1452.000,1,[51],11368.000,911779.656,393.505,125.634,122.658,118.015,0.983,0.962,0.923,0.742,0.000
52,14964.000,1377004.468,455.931,142.618,139.260,136.872,0.981,0.982,0.905,444.000,2002.000,1,[52],10476.000,806597.803,377.019,119.331,116.684,114.335,0.983,0.980,0.926,0.700,0.000
53,16980.000,1664448.374,485.588,151.539,148.591,145.582,0.983,0.979,0.905,456.000,956.000,1,[53],12624.000,1066987.371,415.161,131.590,128.241,125.372,0.984,0.977,0.920,0.743,0.000
55,15008.000,1383082.327,455.446,144.069,139.875,136.732,0.981,0.977,0.909,464.000,1604.000,1,[55],11272.000,900254.437,391.848,124.354,120.725,118.916,0.984,0.985,0.923,0.751,2.000
56,15464.000,1446593.675,463.446,145.231,142.364,138.357,0.979,0.971,0.905,476.000,586.000,1,[57],11100.000,879727.703,387.848,122.931,120.452,117.337,0.984,0.974,0.927,0.718,0.000
57,15188.000,1408038.996,458.960,144.402,141.427,136.807,0.981,0.967,0.906,474.000,1868.000,1,[56],10976.000,865027.567,384.534,122.801,120.250,116.249,0.986,0.966,0.933,0.723,0.000
58,15220.000,1412491.291,456.617,143.736,140.109,138.368,0.985,0.987,0.917,504.000,2510.000,1,[58],10976.000,865027.567,386.676,122.801,119.751,116.706,0.983,0.975,0.922,0.721,0.000
59,14516.000,1315631.428,444.617,139.671,136.626,135.300,0.985,0.990,0.923,514.000,1736.000,1,[60],10640.000,825612.467,380.333,120.416,117.856,114.960,0.983,0.975,0.924,0.733,0.000
60,14796.000,1353880.348,450.960,142.239,138.550,135.998,0.984,0.981,0.914,512.000,2124.000,1,[59],10852.000,850410.234,383.848,122.589,119.327,115.818,0.983,0.970,0.926,0.733,2.000
61,15088.000,1394155.811,456.416,144.734,139.299,137.999,0.980,0.990,0.910,520.000,2650.000,1,[61],10964.000,863609.360,385.505,121.852,118.747,117.572,0.983,0.990,0.927,0.727,2.000
62,14040.000,1251452.764,443.789,138.852,134.252,133.220,0.980,0.992,0.896,536.000,222.000,1,[62],9772.000,726672.939,363.362,114.769,111.833,111.268,0.983,0.995,0.930,0.696,2.000
63,16212.000,1552811.336,472.416,147.851,143.980,143.395,0.984,0.996,0.913,542.000,2372.000,1,[63],11800.000,964243.703,400.333,126.127,122.876,122.276,0.984,0.995,0.925,0.728,0.000
64,17016.000,1669744.477,483.245,153.805,149.579,144.989,0.983,0.968,0.916,560.000,1314.000,1,[64],12492.000,1050296.126,412.132,131.027,127.528,124.749,0.985,0.978,0.924,0.734,0.000
65,15916.000,1510479.015,470.759,147.635,143.947,140.836,0.981,0.978,0.902,562.000,368.000,1,[65],11092.000,878776.818,389.505,122.066,119.399,118.290,0.982,0.991,0.919,0.697,0.000
66,16800.000,1638052.145,479.931,151.182,147.176,145.390,0.985,0.988,0.917,564.000,842.000,1,[66],12548.000,1057366.545,411.161,130.000,127.310,125.499,0.987,0.986,0.933,0.747,0.000
67,15224.000,1413048.158,460.132,145.890,143.150,135.738,0.982,0.946,0.904,566.000,2792.000,1,[67],11332.000,907451.973,394.676,125.300,122.866,117.500,0.981,0.956,0.914,0.744,2.000
69,14856.000,1362123.973,450.960,143.178,139.228,135.888,0.984,0.976,0.918,588.000,670.000,1,[69],10944.000,861247.406,385.019,122.654,119.574,116.555,0.984,0.975,0.928,0.737,0.000
70,15124.000,1399148.475,454.274,142.773,139.484,138.085,0.986,0.990,0.921,586.000,1998.000,1,[68],11404.000,916114.197,392.333,123.693,120.713,120.294,0.985,0.996,0.931,0.754,0.000
71,16428.000,1583947.714,476.132,150.333,147.345,142.062,0.983,0.963,0.911,596.000,94.000,1,[72],11752.000,958366.169,398.676,126.270,123.589,121.110,0.986,0.980,0.929,0.715,0.000
72,14768.000,1350039.035,450.960,141.421,137.733,136.582,0.982,0.991,0.913,594.000,508.000,1,[70],11032.000,871656.113,387.848,122.801,119.729,117.334,0.982,0.980,0.922,0.747,0.000
73,15944.000,1514466.701,470.759,148.189,144.470,140.579,0.982,0.973,0.904,596.000,1554.000,1,[71],11844.000,969641.955,400.333,127.389,124.490,121.144,0.985,0.973,0.929,0.743,2.000
75,15708.000,1480966.174,467.446,147.146,142.993,139.921,0.979,0.978,0.903,626.000,2208.000,1,[74],11264.000,899296.210,389.505,124.483,121.461,118.090,0.985,0.972,0.933,0.717,0.000
