sLabel,sArea,sVolum,sPerim,sFeret,sMajor,sMinor,sSolid,sRound,sCircl,sY,sX,sCore,s_cLabel,s_cArea,s_cVolum,s_cPerim,s_cFeret,s_cMajor,s_cMinor,s_cSolid,s_cRound,s_cCircl,s_csRatio,s_csDist
13,17720.000,1774432.064,496.416,159.022,155.465,145.251,0.984,0.933,0.904,82.000,276.000,1,[10],8988.000,641000.541,349.706,110.725,107.481,106.482,0.981,0.991,0.924,0.507,2.828
14,14344.000,1292317.469,442.475,139.671,136.540,133.786,0.985,0.980,0.921,94.000,1724.000,1,[11],9072.000,650007.492,351.362,110.725,107.725,107.234,0.981,0.995,0.923,0.632,2.000
15,15532.000,1456145.837,464.759,146.779,141.705,139.670,0.980,0.985,0.904,112.000,626.000,1,[12],9604.000,708014.297,360.534,115.948,113.265,107.982,0.983,0.953,0.928,0.618,2.000
16,13584.000,1190982.307,429.304,135.823,132.609,130.424,0.985,0.984,0.926,120.000,2236.000,1,[13],9828.000,732928.352,364.534,116.362,113.220,110.528,0.984,0.976,0.929,0.723,2.000
17,16192.000,1549938.774,473.103,152.315,148.032,139.370,0.982,0.941,0.909,132.000,770.000,1,[14],9020.000,644426.820,347.563,111.427,108.177,106.206,0.986,0.981,0.938,0.557,2.000
18,16420.000,1582790.844,474.274,152.118,148.216,141.159,0.986,0.952,0.917,134.000,1310.000,1,[16],9260.000,670317.072,355.362,113.719,110.441,106.771,0.981,0.967,0.921,0.564,0.000
19,14964.000,1377004.468,454.274,142.394,139.779,136.338,0.983,0.975,0.911,136.000,1884.000,1,[15],9392.000,684700.943,356.534,115.551,112.150,106.681,0.983,0.951,0.928,0.628,2.000
20,12876.000,1099095.051,420.818,132.981,130.158,126.055,0.981,0.968,0.914,138.000,96.000,1,[18],8376.000,576658.640,339.563,106.977,104.336,102.314,0.977,0.980,0.913,0.651,0.000
22,13112.000,1129450.524,425.789,134.239,130.902,127.602,0.983,0.974,0.909,152.000,394.000,1,[19],8588.000,598689.793,341.706,110.635,107.680,101.636,0.981,0.943,0.924,0.655,2.000
23,27504.000,3431291.301,643.730,233.803,240.598,146.518,0.982,0.605,0.834,212.000,1010.000,2,"[20, 26]",8500.000,589519.648,340.492,111.175,110.004,98.696,0.982,0.894,0.921,0.309,48.110
