sLabel,sArea,sVolum,sPerim,sFeret,sMajor,sMinor,sSolid,sRound,sCircl,sY,sX,sCore,s_cLabel,s_cArea,s_cVolum,s_cPerim,s_cFeret,s_cMajor,s_cMinor,s_cSolid,s_cRound,s_cCircl,s_csRatio,s_csDist
19,12904.000,1102682.118,420.132,132.740,129.593,126.794,0.983,0.978,0.919,76.000,1174.000,1,[19],9220.000,665978.458,352.534,111.571,108.722,107.985,0.985,0.993,0.932,0.715,2.000
20,13160.000,1135658.182,422.475,134.164,130.160,128.754,0.985,0.989,0.927,78.000,1878.000,1,[21],9096.000,652588.592,349.706,111.086,108.248,106.987,0.984,0.988,0.935,0.691,0.000
21,11952.000,982934.723,408.475,127.577,124.451,122.326,0.979,0.983,0.900,80.000,274.000,1,[20],8896.000,631183.971,345.706,110.145,106.885,105.978,0.985,0.991,0.935,0.744,2.000
22,12568.000,1059895.524,413.990,130.507,126.625,126.392,0.983,0.998,0.922,108.000,2402.000,1,[22],9032.000,645713.243,349.706,110.635,107.663,106.816,0.983,0.992,0.928,0.719,0.000
23,12532.000,1055344.812,417.304,130.614,127.048,125.655,0.980,0.989,0.904,114.000,150.000,1,[23],9004.000,642712.919,349.706,110.309,107.629,106.518,0.981,0.990,0.925,0.718,0.000
24,12820.000,1091932.615,420.333,131.894,128.585,126.974,0.981,0.987,0.912,114.000,1652.000,1,[24],8976.000,639717.257,346.877,110.309,107.410,106.399,0.985,0.991,0.937,0.700,0.000
25,12692.000,1075620.066,416.818,132.484,129.756,124.597,0.982,0.960,0.918,116.000,2538.000,1,[25],9108.000,653880.420,351.362,112.730,110.446,105.039,0.984,0.951,0.927,0.718,0.000
26,12400.000,1038714.820,411.647,129.692,126.009,125.303,0.984,0.994,0.920,134.000,574.000,1,[26],9000.000,642284.682,349.706,110.309,107.111,107.000,0.980,0.999,0.925,0.726,0.000
27,12324.000,1029179.992,411.161,129.244,126.236,124.336,0.983,0.985,0.916,142.000,2260.000,1,[28],8908.000,632461.528,346.392,109.636,107.107,105.905,0.983,0.989,0.933,0.723,0.000
28,11020.000,870234.290,387.161,124.338,120.557,116.434,0.982,0.965,0.924,138.000,982.000,1,[27],8244.000,563080.873,334.877,106.471,103.717,101.206,0.980,0.976,0.924,0.748,0.000
29,13228.000,1144471.757,425.304,134.164,130.814,128.773,0.985,0.984,0.919,166.000,2000.000,1,[29],9360.000,681204.602,356.534,112.588,110.011,108.331,0.983,0.985,0.925,0.708,0.000
30,12796.000,1088867.781,418.475,131.605,128.027,127.273,0.982,0.994,0.918,170.000,860.000,1,[30],9192.000,662947.022,352.534,111.140,108.365,108.003,0.982,0.997,0.929,0.718,0.000
31,13300.000,1153828.499,428.617,134.164,131.215,129.079,0.982,0.984,0.910,172.000,2132.000,1,[32],9284.000,672924.744,354.191,112.641,109.912,107.551,0.983,0.978,0.930,0.698,0.000
32,13172.000,1137211.868,424.132,133.881,129.685,129.344,0.984,0.997,0.920,172.000,730.000,1,[31],9388.000,684263.574,357.706,112.161,109.414,109.251,0.981,0.998,0.922,0.713,0.000
33,11824.000,967186.958,403.161,128.156,123.819,121.628,0.982,0.982,0.914,180.000,1762.000,1,[33],8532.000,592843.511,341.706,107.703,104.341,104.133,0.978,0.998,0.918,0.722,2.000
35,12176.000,1010696.495,405.990,128.156,125.115,123.917,0.985,0.990,0.928,188.000,1326.000,1,[34],9140.000,657329.456,352.534,111.571,108.869,106.898,0.982,0.982,0.924,0.751,0.000
36,12288.000,1024673.735,408.333,128.156,125.359,124.806,0.985,0.996,0.926,192.000,1502.000,1,[35],8888.000,630332.746,345.706,109.417,106.661,106.104,0.984,0.995,0.935,0.723,0.000
37,12968.000,1110895.744,422.475,132.439,128.902,128.143,0.983,0.994,0.913,206.000,246.000,1,[37],9288.000,673359.684,355.362,112.178,109.472,108.028,0.981,0.987,0.924,0.716,0.000
38,12848.000,1095511.882,421.789,132.575,128.778,127.071,0.980,0.986,0.908,216.000,376.000,1,[39],9048.000,647429.804,350.877,110.635,108.232,106.446,0.980,0.983,0.924,0.704,0.000
39,8680.000,608335.818,344.049,109.836,107.231,103.118,0.980,0.961,0.921,208.000,2614.000,1,[38],6260.000,372584.943,291.078,93.381,91.023,87.591,0.980,0.962,0.928,0.721,0.000
40,12860.000,1097047.048,416.818,131.848,128.457,127.480,0.986,0.992,0.930,218.000,1134.000,1,[40],9256.000,669882.788,353.019,111.803,108.676,108.443,0.984,0.998,0.933,0.720,0.000
41,12892.000,1101144.327,421.304,132.981,129.289,127.018,0.981,0.982,0.913,228.000,2354.000,1,[41],9048.000,647429.804,349.706,110.309,107.490,107.179,0.983,0.997,0.930,0.702,0.000
42,13076.000,1124802.229,423.647,133.686,130.227,127.874,0.983,0.982,0.916,232.000,2484.000,1,[42],9072.000,650007.492,349.706,111.140,107.927,107.034,0.983,0.992,0.932,0.694,0.000
43,12652.000,1070539.202,417.304,131.575,127.428,126.454,0.982,0.992,0.913,238.000,502.000,1,[43],8928.000,634592.701,346.877,110.145,107.041,106.195,0.984,0.992,0.932,0.706,0.000
44,12340.000,1031184.888,412.818,129.769,126.020,124.716,0.982,0.989,0.910,248.000,1628.000,1,[44],8828.000,623960.772,345.220,109.252,106.645,105.401,0.983,0.988,0.931,0.715,2.000
45,12220.000,1016179.921,411.647,129.522,125.397,124.124,0.979,0.989,0.906,256.000,1862.000,1,[45],8976.000,639717.257,351.362,110.218,107.568,106.257,0.977,0.988,0.914,0.735,0.000
46,12572.000,1060401.562,417.990,131.848,127.819,125.280,0.979,0.980,0.904,262.000,130.000,1,[46],8880.000,629481.903,348.534,109.836,106.671,105.999,0.978,0.994,0.919,0.706,0.000
47,12900.000,1102169.442,422.475,132.740,129.422,126.949,0.982,0.981,0.908,272.000,2230.000,1,[47],9040.000,646571.334,348.049,110.309,107.417,107.154,0.985,0.998,0.938,0.701,0.000
48,12852.000,1096023.524,419.647,135.558,130.300,125.687,0.983,0.964,0.917,290.000,618.000,1,[48],8972.000,639289.686,348.534,111.086,108.178,105.599,0.981,0.976,0.928,0.698,0.000
49,12508.000,1052314.632,414.960,130.507,126.467,125.961,0.982,0.996,0.913,296.000,830.000,1,[49],9224.000,666411.897,354.191,111.571,108.497,108.255,0.981,0.998,0.924,0.737,0.000
50,12356.000,1033191.084,412.818,129.769,126.018,124.871,0.981,0.991,0.911,302.000,1230.000,1,[50],8928.000,634592.701,345.706,110.309,107.217,106.019,0.985,0.989,0.939,0.723,2.828
51,12704.000,1077145.888,416.132,131.727,127.243,127.159,0.985,0.999,0.922,310.000,1744.000,1,[51],8960.000,638007.545,346.877,110.073,107.074,106.543,0.984,0.995,0.936,0.705,0.000
52,12600.000,1063946.078,419.931,132.544,127.835,125.567,0.979,0.982,0.898,322.000,2584.000,1,[52],8996.000,641856.540,348.534,110.923,107.790,106.262,0.982,0.986,0.931,0.714,0.000
54,11980.000,986390.833,401.990,127.577,124.273,122.751,0.986,0.988,0.932,332.000,1008.000,1,[54],8704.000,610860.613,342.877,108.849,105.946,104.607,0.982,0.987,0.930,0.727,0.000
