cLabel,cArea,cVolum,cPerim,cFeret,cMajor,cMinor,cSolid,cRound,cCircl,cY,cX,csRatio,csDist,c_sLabel
10,8988.000,641000.541,349.706,110.725,107.481,106.482,0.981,0.991,0.924,84.000,278.000,0.507,2.828,13
11,9072.000,650007.492,351.362,110.725,107.725,107.234,0.981,0.995,0.923,94.000,1726.000,0.632,2.000,14
12,9604.000,708014.297,360.534,115.948,113.265,107.982,0.983,0.953,0.928,110.000,626.000,0.618,2.000,15
13,9828.000,732928.352,364.534,116.362,113.220,110.528,0.984,0.976,0.929,118.000,2236.000,0.723,2.000,16
14,9020.000,644426.820,347.563,111.427,108.177,106.206,0.986,0.981,0.938,132.000,772.000,0.557,2.000,17
15,9392.000,684700.943,356.534,115.551,112.150,106.681,0.983,0.951,0.928,134.000,1884.000,0.628,2.000,19
16,9260.000,670317.072,355.362,113.719,110.441,106.771,0.981,0.967,0.921,134.000,1310.000,0.564,0.000,18
18,8376.000,576658.640,339.563,106.977,104.336,102.314,0.977,0.980,0.913,138.000,96.000,0.651,0.000,20
19,8588.000,598689.793,341.706,110.635,107.680,101.636,0.981,0.943,0.924,154.000,394.000,0.655,2.000,22
20,8448.000,584110.022,339.078,111.427,110.424,97.768,0.982,0.882,0.923,160.000,1012.000,0.307,52.038,23
21,8736.000,614232.424,342.877,109.417,106.862,104.115,0.983,0.974,0.934,198.000,520.000,0.652,0.000,24
22,8916.000,633313.710,346.877,111.140,108.639,104.506,0.984,0.962,0.931,208.000,1162.000,0.514,2.000,25
24,8400.000,579138.890,338.392,108.240,103.902,103.014,0.980,0.991,0.922,236.000,288.000,0.649,4.472,27
26,8552.000,594929.273,341.907,110.923,109.583,99.624,0.982,0.907,0.919,256.000,1006.000,0.311,44.181,23
27,9056.000,648288.654,348.534,112.161,108.934,105.883,0.985,0.972,0.937,264.000,1924.000,0.679,0.000,31
28,9560.000,703154.303,362.191,115.948,112.634,108.132,0.979,0.959,0.916,268.000,2298.000,0.593,2.828,30
29,8664.000,606654.559,341.220,108.259,105.240,104.826,0.984,0.996,0.935,270.000,160.000,0.604,0.000,32
30,8916.000,633313.710,346.877,111.140,107.372,105.785,0.983,0.985,0.931,288.000,724.000,0.522,4.472,33
31,8736.000,614232.424,343.362,109.636,106.536,104.422,0.982,0.980,0.931,306.000,444.000,0.610,0.000,34
32,8924.000,634166.275,345.706,111.086,108.734,104.521,0.986,0.961,0.938,322.000,860.000,0.619,2.828,35
33,8796.000,620571.221,344.534,109.636,106.583,105.087,0.983,0.986,0.931,328.000,1806.000,0.632,0.000,36
34,9348.000,679895.013,356.534,114.140,111.883,106.395,0.981,0.951,0.924,334.000,1268.000,0.580,2.828,37
35,9380.000,683389.116,356.534,113.596,110.439,108.154,0.982,0.979,0.927,340.000,1462.000,0.586,2.828,38
36,9056.000,648288.654,349.706,111.803,109.220,105.567,0.983,0.967,0.931,356.000,1656.000,0.583,2.000,39
37,8096.000,547986.109,332.735,111.893,106.272,97.214,0.981,0.913,0.919,372.000,1082.000,0.288,50.636,40
38,8488.000,588263.438,338.877,107.703,104.718,103.207,0.981,0.986,0.929,382.000,340.000,0.698,0.000,42
39,9404.000,686013.609,356.534,113.508,110.514,108.350,0.983,0.980,0.930,384.000,2064.000,0.583,2.000,41
41,8904.000,632035.580,347.563,114.280,110.265,102.903,0.982,0.932,0.926,402.000,2342.000,0.639,0.000,44
43,8576.000,597435.409,341.706,109.636,106.753,102.307,0.981,0.958,0.923,434.000,952.000,0.633,2.000,45
44,8784.000,619301.727,344.049,111.086,108.283,103.343,0.984,0.954,0.933,442.000,772.000,0.579,0.000,46
45,8184.000,556944.900,333.706,106.301,103.566,100.636,0.979,0.971,0.924,442.000,452.000,0.666,2.000,48
46,8864.000,627781.367,344.049,110.073,107.159,105.332,0.986,0.983,0.941,450.000,618.000,0.531,2.000,47
47,8912.000,632887.571,349.220,111.893,108.889,104.234,0.981,0.957,0.918,450.000,2218.000,0.614,2.000,49
48,9308.000,675535.789,358.877,113.719,109.550,108.411,0.978,0.988,0.908,454.000,1942.000,0.639,2.828,50
49,9376.000,682952.027,355.362,114.543,110.921,107.721,0.984,0.970,0.933,460.000,238.000,0.667,0.000,51
51,9644.000,712442.145,360.534,114.909,112.011,109.650,0.983,0.979,0.932,470.000,1526.000,0.566,2.000,53
52,8408.000,579966.428,341.220,113.031,109.639,97.804,0.978,0.891,0.907,472.000,1104.000,0.300,51.923,40
