sLabel,sArea,sVolum,sPerim,sFeret,sMajor,sMinor,sSolid,sRound,sCircl,sY,sX,sCore,s_cLabel,s_cArea,s_cVolum,s_cPerim,s_cFeret,s_cMajor,s_cMinor,s_cSolid,s_cRound,s_cCircl,s_csRatio,s_csDist
22,11552.000,934005.795,410.274,128.156,124.840,118.051,0.972,0.944,0.862,64.000,980.000,1,[23],8520.000,591593.226,339.362,110.073,106.786,101.629,0.982,0.951,0.930,0.738,2.000
24,12516.000,1053324.369,416.818,131.605,128.158,124.386,0.981,0.970,0.905,76.000,1900.000,1,[25],8928.000,634592.701,348.534,110.725,107.958,105.300,0.980,0.975,0.924,0.713,0.000
25,11720.000,954454.473,404.617,127.577,123.260,121.166,0.978,0.982,0.900,84.000,1104.000,1,[26],8780.000,618878.755,343.362,110.145,107.207,104.335,0.985,0.973,0.936,0.749,2.828
26,11980.000,986390.833,410.960,128.950,123.931,123.189,0.977,0.993,0.891,90.000,1776.000,1,[27],8780.000,618878.755,344.049,109.252,106.307,105.169,0.983,0.989,0.932,0.733,2.000
27,12452.000,1045255.516,419.647,131.210,127.297,124.724,0.974,0.978,0.889,96.000,2458.000,1,[29],9096.000,652588.592,349.220,111.140,107.904,107.348,0.984,0.995,0.937,0.730,2.828
28,8044.000,542715.085,333.706,105.906,103.530,98.978,0.976,0.956,0.908,92.000,1434.000,1,[28],5868.000,338141.876,280.936,91.236,88.244,84.672,0.980,0.959,0.934,0.729,0.000
29,12824.000,1092443.699,419.647,132.197,128.355,127.278,0.983,0.991,0.915,108.000,664.000,1,[30],9024.000,644855.533,348.049,111.086,108.222,106.173,0.984,0.981,0.936,0.704,0.000
31,11608.000,940805.612,399.161,125.172,122.118,121.054,0.981,0.991,0.916,108.000,2582.000,1,[31],8628.000,602877.402,341.220,108.462,105.515,104.129,0.983,0.987,0.931,0.743,2.000
32,12124.000,1004228.845,411.647,128.515,124.835,123.716,0.981,0.991,0.899,112.000,790.000,1,[33],8728.000,613388.892,345.706,109.252,106.432,104.443,0.979,0.981,0.918,0.720,0.000
33,11988.000,987379.035,411.647,132.424,127.580,120.016,0.976,0.938,0.889,122.000,1222.000,1,[34],9088.000,651727.847,351.362,113.031,110.646,104.663,0.981,0.945,0.925,0.758,2.000
34,12600.000,1063946.078,417.304,131.848,127.033,126.332,0.982,0.994,0.909,126.000,280.000,1,[35],9012.000,643569.679,348.049,110.309,107.416,106.829,0.984,0.994,0.935,0.715,0.000
35,12608.000,1064959.521,417.304,132.439,127.292,126.197,0.980,0.991,0.910,128.000,536.000,1,[37],8732.000,613810.610,342.877,108.849,106.102,104.789,0.984,0.988,0.933,0.693,0.000
37,12744.000,1082237.166,419.647,131.575,128.045,126.761,0.982,0.990,0.909,134.000,2156.000,1,[38],9044.000,647000.522,350.191,111.086,108.299,106.334,0.982,0.982,0.927,0.710,0.000
38,12444.000,1044248.365,416.475,131.469,127.258,124.553,0.977,0.978,0.902,136.000,406.000,1,[39],9228.000,666845.430,352.534,112.925,110.348,106.474,0.983,0.965,0.933,0.742,2.000
39,12456.000,1045759.214,412.333,130.000,126.256,125.636,0.985,0.995,0.921,138.000,2300.000,1,[40],9064.000,649147.884,351.362,111.086,107.792,107.066,0.979,0.993,0.923,0.728,0.000
