sLabel,sArea,sVolum,sPerim,sFeret,sMajor,sMinor,sSolid,sRound,sCircl,sY,sX,sCore,s_cLabel,s_cArea,s_cVolum,s_cPerim,s_cFeret,s_cMajor,s_cMinor,s_cSolid,s_cRound,s_cCircl,s_csRatio,s_csDist
10,61484.000,11468509.300,951.092,340.852,343.035,228.528,0.991,0.665,0.854,194.000,748.000,2,"[9, 16]",13886.000,1231798.420,443.304,141.846,137.571,128.913,0.976,0.936,0.888,0.226,64.642
11,40080.000,6036085.315,743.210,231.603,228.591,223.282,0.990,0.977,0.912,174.000,466.000,1,[10],15752.000,1487193.077,465.304,149.893,145.374,138.227,0.985,0.949,0.914,0.393,5.657
12,68504.000,13487693.763,1006.171,364.088,369.545,236.590,0.991,0.639,0.850,264.000,2146.000,2,"[13, 17]",14888.000,1367486.346,450.274,144.255,141.888,133.708,0.986,0.943,0.923,0.217,69.816
13,35092.000,4945110.281,694.926,217.200,213.155,209.672,0.990,0.983,0.913,224.000,194.000,1,[14],13704.000,1206798.676,430.475,137.419,133.225,131.032,0.987,0.983,0.929,0.391,4.472
14,33568.000,4626493.965,678.926,212.659,210.258,203.297,0.990,0.967,0.915,244.000,1870.000,1,[15],13272.000,1150186.749,428.132,134.536,130.876,129.200,0.982,0.987,0.910,0.395,2.000
15,40000.000,6018022.225,743.210,232.491,227.966,223.492,0.990,0.980,0.910,328.000,990.000,1,[18],15392.000,1436502.487,459.446,143.388,140.559,139.433,0.985,0.992,0.916,0.385,0.000
16,38524.000,5688016.683,728.382,228.254,225.042,217.981,0.990,0.969,0.912,332.000,3134.000,1,[19],15068.000,1391384.681,452.617,143.178,139.708,137.332,0.986,0.983,0.924,0.391,0.000
17,39676.000,5945051.521,739.210,229.539,225.992,223.575,0.990,0.989,0.912,346.000,1662.000,1,[20],15592.000,1464591.602,459.446,144.471,141.202,140.597,0.987,0.996,0.928,0.393,2.000
18,41196.000,6289938.143,753.352,236.237,231.618,226.498,0.991,0.978,0.912,388.000,1348.000,1,[21],16056.000,1530452.445,467.931,147.526,144.238,141.740,0.986,0.983,0.921,0.390,2.000
19,39452.000,5894776.411,737.553,232.499,227.118,221.264,0.990,0.974,0.911,448.000,246.000,1,[22],14580.000,1324341.798,445.304,140.186,137.572,134.945,0.987,0.981,0.924,0.370,2.828
20,42208.000,6523128.909,762.039,239.708,234.636,229.081,0.991,0.976,0.913,464.000,2776.000,1,[23],16448.000,1586841.121,473.103,147.959,144.893,144.537,0.986,0.998,0.923,0.390,2.000
21,39540.000,5914510.372,737.553,231.931,228.675,220.170,0.991,0.963,0.913,470.000,3692.000,1,[24],15640.000,1471359.926,461.789,146.123,143.055,139.211,0.985,0.973,0.922,0.396,2.000
22,37360.000,5432179.367,717.553,222.971,219.288,216.942,0.989,0.989,0.912,492.000,1848.000,1,[25],14572.000,1323251.954,444.617,140.014,136.758,135.670,0.986,0.992,0.926,0.390,2.828
23,44856.000,7146520.024,789.352,244.826,240.696,237.395,0.990,0.986,0.905,508.000,2534.000,1,[26],17132.000,1686847.799,483.931,151.380,148.194,147.201,0.986,0.993,0.919,0.382,2.828
24,37776.000,5523161.659,719.897,225.078,221.779,216.891,0.990,0.978,0.916,518.000,2080.000,1,[27],15060.000,1390276.744,454.274,142.618,139.530,137.434,0.983,0.985,0.917,0.399,2.000
25,62572.000,11774266.331,934.690,291.431,287.053,277.668,0.989,0.967,0.900,564.000,756.000,1,[29],26884.000,3315924.475,611.328,190.882,186.345,183.817,0.985,0.986,0.904,0.430,4.472
26,34788.000,4880990.837,692.583,215.416,212.401,208.564,0.989,0.982,0.911,552.000,2304.000,1,[28],13984.000,1243972.911,436.132,137.084,133.838,133.044,0.985,0.994,0.924,0.402,2.828
27,40240.000,6072265.587,744.867,231.387,226.878,225.858,0.990,0.995,0.911,562.000,458.000,1,[30],15312.000,1425317.708,458.274,144.028,140.849,138.425,0.984,0.983,0.916,0.381,2.000
