sLabel,sArea,sVolum,sPerim,sFeret,sMajor,sMinor,sSolid,sRound,sCircl,sY,sX,sCore,s_cLabel,s_cArea,s_cVolum,s_cPerim,s_cFeret,s_cMajor,s_cMinor,s_cSolid,s_cRound,s_cCircl,s_csRatio,s_csDist
14,57008.000,10239234.934,886.406,276.319,271.769,267.207,0.991,0.983,0.912,140.000,3238.000,1,[10],15696.000,1479269.440,462.274,144.997,141.957,140.784,0.986,0.992,0.923,0.275,2.828
15,54952.000,9690340.895,879.377,274.962,266.780,262.556,0.987,0.983,0.893,152.000,2950.000,1,[11],16520.000,1597271.949,473.103,148.432,145.588,144.475,0.987,0.992,0.927,0.301,2.828
16,67564.000,13211034.605,973.235,303.486,296.508,290.418,0.990,0.978,0.896,196.000,1950.000,1,[13],20372.000,2187329.960,528.701,165.421,161.879,160.251,0.986,0.990,0.916,0.302,4.000
17,61108.000,11363468.311,922.607,287.089,281.641,276.568,0.988,0.981,0.902,196.000,3554.000,1,[14],17800.000,1786462.086,491.931,154.350,151.466,149.652,0.988,0.988,0.924,0.291,6.325
18,61068.000,11352312.710,933.519,296.142,287.319,271.049,0.986,0.942,0.881,254.000,272.000,1,[15],16920.000,1655634.007,481.588,150.586,147.744,145.826,0.985,0.987,0.917,0.277,2.000
19,63264.000,11970127.373,940.063,292.985,288.498,279.344,0.991,0.968,0.900,258.000,1196.000,1,[16],18148.000,1839106.825,496.416,155.795,153.157,150.871,0.988,0.985,0.925,0.287,2.828
20,52612.000,9078017.538,854.122,266.511,261.298,256.473,0.989,0.981,0.906,270.000,3846.000,1,[17],15672.000,1475877.917,463.446,144.941,141.824,140.707,0.983,0.992,0.917,0.298,4.000
21,56820.000,10188626.556,890.690,276.926,271.418,266.668,0.989,0.982,0.900,368.000,588.000,1,[19],16176.000,1547642.002,472.617,151.605,146.907,140.357,0.984,0.954,0.910,0.285,5.657
22,65984.000,12750339.805,958.004,297.946,292.840,287.019,0.991,0.980,0.903,376.000,2300.000,1,[22],19784.000,2093316.783,521.387,162.049,158.871,158.561,0.986,0.998,0.915,0.300,2.000
24,61596.000,11499860.330,934.205,295.025,290.355,270.345,0.986,0.930,0.887,368.000,876.000,1,[21],18632.000,1913167.583,506.073,157.709,154.880,153.174,0.985,0.989,0.914,0.302,2.000
25,54620.000,9602655.397,871.779,272.000,265.832,261.689,0.990,0.984,0.903,368.000,1722.000,1,[18],15916.000,1510479.015,467.931,146.492,143.159,141.560,0.982,0.989,0.913,0.291,5.657
26,65124.000,12501882.180,953.519,296.446,289.275,286.803,0.989,0.991,0.900,386.000,3102.000,1,[23],18620.000,1911319.608,504.902,157.709,154.753,153.200,0.986,0.990,0.918,0.286,2.000
27,68468.000,13477063.147,978.288,303.842,297.722,293.015,0.988,0.984,0.899,424.000,1440.000,1,[24],19908.000,2113027.982,522.558,162.788,159.795,158.632,0.986,0.993,0.916,0.291,2.000
28,63588.000,12062200.652,942.891,293.721,289.558,279.805,0.990,0.966,0.899,444.000,3394.000,1,[25],18368.000,1872649.963,503.245,156.780,153.835,152.039,0.985,0.988,0.911,0.289,0.000
29,52172.000,8964375.267,848.950,262.800,259.119,256.434,0.991,0.989,0.910,498.000,2584.000,1,[26],16832.000,1642734.522,479.245,149.693,146.589,146.203,0.986,0.997,0.921,0.323,2.000
30,58324.000,10595824.397,899.377,280.071,275.174,269.965,0.990,0.981,0.906,512.000,2022.000,1,[27],18028.000,1820895.927,496.416,155.641,152.526,150.499,0.986,0.987,0.919,0.309,2.000
31,61552.000,11487540.452,928.749,297.214,285.365,274.881,0.990,0.962,0.897,520.000,3718.000,1,[28],17304.000,1712314.601,485.588,152.971,149.783,147.097,0.986,0.982,0.922,0.281,2.000
32,88000.000,19637572.819,1151.058,404.821,408.656,274.696,0.988,0.671,0.835,566.000,338.000,2,"[29, 31]",15954.000,1517490.462,470.517,148.231,145.031,140.028,0.983,0.966,0.905,0.181,70.232
33,58288.000,10586015.636,897.235,277.597,273.999,270.909,0.991,0.989,0.910,564.000,1098.000,1,[30],17248.000,1704009.123,487.245,151.539,148.648,147.745,0.984,0.994,0.913,0.296,2.828
34,50816.000,8617167.104,838.122,260.354,255.397,253.393,0.990,0.992,0.909,638.000,836.000,1,[32],15688.000,1478138.644,462.274,145.066,141.711,140.954,0.985,0.995,0.923,0.309,0.000
35,55988.000,9965663.785,882.406,274.642,270.890,263.194,0.990,0.971,0.904,644.000,2858.000,1,[33],16380.000,1577010.723,473.103,147.959,145.055,143.779,0.985,0.991,0.920,0.293,4.000
37,62900.000,11866967.923,934.205,290.765,287.021,279.101,0.991,0.972,0.906,680.000,3224.000,1,[35],18924.000,1958317.971,508.902,158.619,155.704,154.746,0.986,0.994,0.918,0.301,0.000
38,67024.000,13052969.246,966.891,302.060,295.457,289.121,0.989,0.978,0.901,694.000,1576.000,1,[37],19368.000,2027640.536,512.902,160.823,157.416,156.655,0.989,0.995,0.925,0.289,2.828
40,57116.000,10268345.610,889.235,276.123,272.534,266.910,0.990,0.979,0.908,704.000,2338.000,1,[38],16376.000,1576433.099,473.103,148.432,144.917,143.880,0.985,0.993,0.919,0.287,2.828
41,56104.000,9996651.200,886.406,277.849,270.354,264.346,0.989,0.977,0.897,714.000,3512.000,1,[39],16128.000,1540758.500,467.931,147.526,144.146,142.463,0.987,0.988,0.926,0.287,0.000
42,59052.000,10794827.752,909.720,280.414,276.303,272.348,0.990,0.985,0.897,772.000,2608.000,1,[41],17324.000,1715284.104,486.759,151.855,148.753,148.288,0.986,0.997,0.919,0.293,2.000
43,101364.000,24276686.532,1218.857,432.671,435.307,296.947,0.991,0.681,0.857,796.000,2012.000,2,"[40, 43]",16954.000,1662802.551,483.345,153.682,151.693,142.449,0.985,0.938,0.911,0.167,77.185
44,55796.000,9914444.790,882.406,275.231,267.526,265.834,0.987,0.993,0.900,776.000,604.000,1,[42],17240.000,1702823.725,487.245,151.605,148.452,147.878,0.984,0.996,0.913,0.309,2.000
45,52752.000,9114276.402,855.294,264.462,261.367,257.040,0.990,0.983,0.906,854.000,998.000,1,[44],15548.000,1458396.449,459.446,144.554,141.362,140.038,0.987,0.991,0.926,0.295,4.000
46,98532.000,23266429.853,1223.141,436.555,441.503,284.799,0.988,0.644,0.828,962.000,224.000,2,"[46, 51]",16478.000,1591288.969,473.931,151.487,148.496,141.335,0.986,0.952,0.922,0.167,75.928
47,60716.000,11254301.062,917.034,285.047,280.781,275.405,0.991,0.981,0.907,884.000,3820.000,1,[45],17012.000,1669155.744,482.759,152.643,148.876,145.529,0.984,0.977,0.917,0.280,4.472
48,59304.000,10864000.600,908.548,284.345,276.043,273.643,0.989,0.991,0.903,930.000,1288.000,1,[47],16584.000,1606562.901,475.931,148.661,145.692,144.932,0.986,0.995,0.920,0.280,0.000
49,97952.000,23061298.761,1201.450,427.144,436.420,286.594,0.990,0.655,0.853,1002.000,1778.000,2,"[48, 52]",17300.000,1711813.696,486.902,155.378,153.313,143.944,0.986,0.939,0.917,0.177,74.967
50,56728.000,10163891.231,887.092,275.536,271.874,265.787,0.990,0.977,0.906,952.000,3366.000,1,[49],17440.000,1732541.001,488.416,152.118,149.116,148.917,0.986,0.999,0.919,0.307,2.000
51,56808.000,10185399.073,887.578,275.855,271.427,266.555,0.990,0.982,0.906,966.000,2804.000,1,[50],17052.000,1675046.186,481.588,150.479,147.483,147.212,0.987,0.998,0.924,0.300,0.000
52,66600.000,12929303.914,968.833,301.529,294.238,288.338,0.989,0.979,0.892,1060.000,540.000,1,[53],18060.000,1825746.258,496.902,155.242,152.539,150.751,0.986,0.988,0.919,0.271,2.828
53,55660.000,9878217.931,883.578,274.401,267.569,265.000,0.990,0.990,0.896,1070.000,2236.000,1,[54],16740.000,1629284.706,478.759,149.452,146.582,145.412,0.985,0.992,0.918,0.301,2.828
54,60004.000,11056918.383,917.720,282.064,277.930,274.962,0.989,0.989,0.895,1072.000,828.000,1,[55],18072.000,1827566.241,495.245,154.945,152.124,151.258,0.988,0.994,0.926,0.301,2.828
55,56260.000,10038374.458,880.264,272.969,268.105,267.235,0.991,0.997,0.912,1110.000,2536.000,1,[56],17076.000,1678583.769,483.245,150.864,147.692,147.216,0.986,0.997,0.919,0.304,2.000
56,62084.000,11636793.714,926.205,290.661,286.226,276.296,0.990,0.965,0.909,1118.000,1500.000,1,[57],17432.000,1731349.023,486.759,152.801,149.338,148.624,0.987,0.995,0.925,0.281,2.000
57,59452.000,10904694.520,911.377,279.614,276.253,274.069,0.990,0.992,0.899,1128.000,3106.000,1,[58],17524.000,1745073.273,489.588,153.310,150.174,148.584,0.986,0.989,0.919,0.295,4.472
58,64404.000,12295128.223,945.235,294.007,289.654,283.282,0.991,0.977,0.906,1140.000,3604.000,1,[59],18400.000,1877545.778,499.730,156.895,153.931,152.199,0.988,0.989,0.926,0.286,2.828
59,52016.000,8924198.640,847.092,263.401,259.297,255.490,0.990,0.985,0.911,1164.000,1128.000,1,[60],15124.000,1399148.475,452.617,142.618,139.296,138.242,0.987,0.992,0.928,0.291,2.000
61,55636.000,9871829.546,879.294,273.562,267.417,265.006,0.991,0.991,0.904,1252.000,2030.000,1,[62],16160.000,1545346.365,471.931,146.820,143.685,143.202,0.983,0.997,0.912,0.290,2.828
62,61384.000,11440541.427,922.891,285.237,280.405,278.795,0.990,0.994,0.906,1280.000,2866.000,1,[63],17936.000,1806975.204,494.073,154.557,151.894,150.347,0.987,0.990,0.923,0.292,2.000
65,58888.000,10749889.680,905.436,281.169,276.260,271.615,0.990,0.982,0.903,1314.000,3366.000,1,[65],16568.000,1604238.479,474.759,148.930,145.704,144.783,0.986,0.994,0.924,0.281,4.000
66,61604.000,11502100.781,925.519,287.903,282.073,278.133,0.989,0.986,0.904,1322.000,410.000,1,[66],16096.000,1536175.185,467.931,147.092,143.906,142.414,0.986,0.990,0.924,0.261,2.000
67,62804.000,11839810.670,937.034,290.413,284.838,280.827,0.990,0.986,0.899,1348.000,704.000,1,[67],17720.000,1774432.064,491.245,153.805,150.644,149.770,0.987,0.994,0.923,0.282,2.000
68,61568.000,11492019.898,924.749,292.062,284.889,275.383,0.989,0.966,0.905,1352.000,2308.000,1,[68],17748.000,1778639.489,491.245,153.805,150.816,149.838,0.987,0.993,0.924,0.288,2.000
69,68128.000,13376800.802,978.489,306.777,298.371,291.080,0.990,0.974,0.894,1398.000,1276.000,1,[69],19956.000,2120674.641,522.558,163.083,159.989,158.818,0.987,0.993,0.918,0.293,4.472
