cLabel,cArea,cVolum,cPerim,cFeret,cMajor,cMinor,cSolid,cRound,cCircl,cY,cX,csRatio,csDist,c_sLabel
14,15144.000,1401924.746,457.103,142.239,139.027,138.700,0.983,0.998,0.911,176.000,1350.000,0.383,2.828,12
15,16648.000,1615871.797,475.931,148.862,145.827,145.360,0.987,0.997,0.924,198.000,1588.000,0.389,2.000,13
16,15076.000,1392492.913,455.446,142.352,139.195,137.918,0.984,0.991,0.913,200.000,124.000,0.389,2.000,14
17,14764.000,1349490.573,446.960,140.684,137.341,136.876,0.987,0.997,0.929,232.000,1808.000,0.545,0.000,15
18,15044.000,1388061.752,455.446,141.662,138.690,138.118,0.982,0.996,0.911,244.000,2024.000,0.399,0.000,16
19,16596.000,1608306.953,474.759,149.412,146.000,144.736,0.987,0.991,0.925,278.000,684.000,0.391,2.000,17
21,15740.000,1485493.967,463.446,145.836,142.567,140.581,0.985,0.986,0.921,344.000,442.000,0.401,0.000,18
22,16552.000,1601915.180,474.759,149.050,145.953,144.396,0.986,0.989,0.923,416.000,2210.000,0.403,2.000,20
23,15052.000,1389169.101,454.475,148.297,147.044,130.703,0.986,0.886,0.916,436.000,904.000,0.225,68.118,21
25,13248.000,1147068.304,422.960,133.881,130.198,129.570,0.986,0.995,0.931,438.000,1042.000,0.198,70.029,21
26,16324.000,1568930.405,473.588,147.648,144.609,143.737,0.984,0.994,0.915,442.000,1674.000,0.395,2.000,22
27,14580.000,1324341.798,444.132,140.982,138.536,134.006,0.986,0.967,0.929,460.000,234.000,0.381,0.000,25
28,15700.000,1479834.946,463.446,145.121,141.915,140.869,0.984,0.993,0.919,460.000,1282.000,0.407,2.828,24
30,13852.000,1226401.081,434.960,136.499,133.180,132.436,0.984,0.994,0.920,470.000,3698.000,0.402,2.000,26
31,14936.000,1373141.389,453.789,141.549,138.521,137.297,0.982,0.991,0.911,506.000,1948.000,0.379,0.000,27
32,16656.000,1617036.670,474.759,149.907,146.784,144.480,0.987,0.984,0.929,530.000,2458.000,0.388,0.000,28
33,15040.000,1387508.188,450.960,143.024,139.962,136.827,0.987,0.978,0.929,562.000,578.000,0.385,2.000,29
34,16544.000,1600753.951,475.931,148.499,145.457,144.819,0.986,0.996,0.918,580.000,1480.000,0.389,2.000,30
35,16756.000,1631621.156,477.103,150.306,147.355,144.782,0.987,0.983,0.925,614.000,3122.000,0.400,2.000,31
37,16424.000,1583369.244,475.931,150.266,147.974,141.365,0.983,0.955,0.911,674.000,2896.000,0.392,0.000,33
38,15500.000,1451648.092,461.789,144.250,141.148,139.828,0.984,0.991,0.913,672.000,1786.000,0.407,0.000,32
39,14700.000,1340725.293,447.446,140.186,137.342,136.279,0.986,0.992,0.923,682.000,1116.000,0.395,2.000,35
40,15380.000,1434822.913,456.617,144.900,141.893,138.028,0.986,0.973,0.927,692.000,306.000,0.387,2.000,37
41,16432.000,1584526.255,473.103,148.930,145.556,143.747,0.986,0.988,0.923,690.000,3768.000,0.400,2.828,36
42,15384.000,1435382.698,456.617,144.028,140.806,139.117,0.987,0.988,0.927,702.000,836.000,0.414,2.828,38
43,17844.000,1793090.139,494.073,155.332,151.709,149.771,0.987,0.987,0.919,716.000,2054.000,0.398,4.472,39
44,17708.000,1772629.899,495.245,161.245,159.287,141.808,0.983,0.889,0.907,762.000,2536.000,0.219,66.483,40
46,16352.000,1572968.834,479.931,157.442,156.045,134.181,0.980,0.855,0.892,808.000,2662.000,0.202,67.676,40
47,16220.000,1553960.857,470.274,147.078,144.080,143.338,0.986,0.995,0.922,818.000,1448.000,0.388,2.000,43
48,29912.000,3891633.905,643.127,198.957,195.622,194.702,0.988,0.995,0.909,832.000,598.000,0.425,0.000,42
50,16184.000,1548790.246,471.931,147.851,144.955,142.160,0.984,0.981,0.913,892.000,3650.000,0.394,0.000,45
51,16592.000,1607725.532,477.588,148.661,145.776,144.927,0.985,0.994,0.914,902.000,1748.000,0.389,2.000,46
52,16604.000,1609470.005,475.931,149.050,146.176,144.629,0.986,0.989,0.921,908.000,988.000,0.385,4.000,47
53,16760.000,1632205.443,477.588,149.907,146.756,145.410,0.986,0.991,0.923,930.000,2178.000,0.398,2.828,48
54,15088.000,1394155.811,454.274,143.178,139.993,137.231,0.984,0.980,0.919,958.000,360.000,0.384,2.828,49
55,16828.000,1642148.981,477.588,150.479,147.093,145.674,0.988,0.990,0.927,988.000,2984.000,0.402,2.000,50
56,14436.000,1304770.444,444.617,139.284,136.577,134.587,0.983,0.985,0.918,1004.000,3320.000,0.400,2.000,51
57,13256.000,1148107.472,424.818,133.462,130.148,129.695,0.984,0.996,0.923,1038.000,1398.000,0.410,2.000,52
58,17048.000,1674456.830,483.245,151.169,147.895,146.793,0.985,0.992,0.917,1058.000,1954.000,0.388,2.828,53
60,15564.000,1460648.219,461.103,144.997,141.636,139.920,0.985,0.988,0.920,1126.000,1656.000,0.387,2.000,55
61,14472.000,1309654.173,442.475,144.069,142.289,129.637,0.987,0.910,0.929,1132.000,1142.000,0.221,70.456,56
62,14608.000,1328158.606,445.789,140.684,137.686,135.103,0.986,0.981,0.924,1146.000,1004.000,0.223,68.264,56
63,16556.000,1602495.899,475.931,148.930,146.381,144.009,0.986,0.984,0.918,1154.000,2630.000,0.396,2.000,57
64,15352.000,1430906.455,456.617,145.231,142.097,137.560,0.986,0.968,0.925,1190.000,3458.000,0.396,2.000,58
65,15468.000,1447154.986,459.446,144.361,141.527,139.167,0.986,0.983,0.921,1224.000,2996.000,0.403,2.828,59
66,17612.000,1758234.573,491.245,153.375,150.320,149.183,0.985,0.992,0.917,1258.000,1338.000,0.387,4.472,60
67,15616.000,1467974.463,466.274,151.222,150.042,132.888,0.984,0.883,0.903,1270.000,412.000,0.210,72.801,61
69,15556.000,1459522.189,459.446,144.069,141.237,140.235,0.987,0.993,0.926,1296.000,830.000,0.379,2.828,64
70,16176.000,1547642.002,470.759,147.959,144.902,142.140,0.985,0.981,0.917,1294.000,3782.000,0.400,2.000,63
71,15056.000,1389722.885,451.446,142.127,139.055,137.864,0.987,0.991,0.928,1320.000,272.000,0.203,75.895,61
72,24120.000,2817927.112,575.328,179.644,176.347,174.160,0.988,0.988,0.916,1366.000,2760.000,0.448,2.000,65
