sLabel,sArea,sVolum,sPerim,sFeret,sMajor,sMinor,sSolid,sRound,sCircl,sY,sX,sCore,s_cLabel,s_cArea,s_cVolum,s_cPerim,s_cFeret,s_cMajor,s_cMinor,s_cSolid,s_cRound,s_cCircl,s_csRatio,s_csDist
16,58356.000,10604545.838,922.891,330.170,331.765,224.084,0.992,0.675,0.861,146.000,2336.000,2,"[14, 19]",15252.000,1417967.651,463.446,152.807,151.915,128.538,0.984,0.842,0.892,0.261,62.779
17,33184.000,4547334.504,680.583,212.198,208.121,203.128,0.986,0.975,0.900,132.000,874.000,1,[15],15648.000,1472488.991,461.103,145.231,142.172,140.137,0.986,0.986,0.925,0.472,2.000
18,31612.000,4228066.021,658.441,208.355,204.750,196.626,0.989,0.960,0.916,156.000,172.000,1,[17],15728.000,1483795.505,463.446,146.492,144.135,138.942,0.985,0.964,0.920,0.498,2.000
19,28192.000,3560841.398,622.642,197.585,193.282,185.854,0.988,0.961,0.914,148.000,3470.000,1,[16],14624.000,1330341.282,446.960,143.736,140.911,132.171,0.984,0.938,0.920,0.519,2.000
20,32612.000,4430267.510,671.127,209.275,205.357,202.286,0.989,0.985,0.910,168.000,1276.000,1,[18],15764.000,1488892.834,463.931,145.437,142.852,140.505,0.985,0.984,0.920,0.483,0.000
21,32340.000,4374957.350,668.784,211.376,205.780,200.188,0.987,0.972,0.909,170.000,2792.000,1,[20],15380.000,1434822.913,458.274,143.736,141.055,138.834,0.985,0.984,0.920,0.476,0.000
22,33808.000,4676199.378,684.583,212.424,208.204,206.787,0.988,0.993,0.907,190.000,3856.000,1,[21],17104.000,1682714.093,481.103,152.118,148.690,146.466,0.988,0.985,0.929,0.506,4.000
23,29540.000,3819262.746,635.813,200.000,196.344,191.608,0.989,0.976,0.918,200.000,3142.000,1,[23],15368.000,1433143.994,458.274,143.388,140.450,139.330,0.985,0.992,0.920,0.520,2.000
24,62284.000,11693069.858,947.578,329.970,332.977,238.285,0.991,0.715,0.872,280.000,1858.000,2,"[24, 34]",15804.000,1494759.972,476.168,153.060,152.764,132.371,0.978,0.862,0.876,0.254,62.654
25,29316.000,3775903.354,632.784,198.404,193.742,192.679,0.989,0.994,0.920,234.000,2598.000,1,[26],15076.000,1392492.913,453.789,143.178,140.182,136.943,0.985,0.977,0.920,0.514,0.000
26,34388.000,4797049.251,686.240,213.776,210.260,208.261,0.989,0.990,0.918,250.000,3654.000,1,[27],16460.000,1588578.010,474.759,149.050,146.236,143.318,0.985,0.980,0.918,0.479,2.000
27,33444.000,4600882.291,676.098,212.207,208.456,204.331,0.990,0.980,0.919,264.000,2120.000,1,[28],16036.000,1527593.746,466.274,147.472,144.109,141.689,0.986,0.983,0.927,0.479,0.000
28,33712.000,4656295.969,681.269,213.063,210.384,204.076,0.990,0.970,0.913,286.000,1612.000,1,[29],15928.000,1512187.594,463.446,146.820,143.805,141.029,0.988,0.981,0.932,0.472,0.000
29,62808.000,11840941.808,950.288,331.307,331.211,241.650,0.990,0.729,0.874,360.000,2986.000,2,"[30, 42]",16316.000,1570528.540,480.701,158.700,158.966,131.443,0.980,0.821,0.886,0.260,61.408
30,31652.000,4236093.485,657.955,206.940,202.574,199.002,0.990,0.982,0.919,328.000,1412.000,1,[31],15516.000,1453896.385,460.617,145.836,142.471,138.672,0.986,0.973,0.919,0.490,0.000
33,32508.000,4409092.162,673.754,210.419,205.637,201.372,0.987,0.979,0.900,342.000,780.000,1,[36],14776.000,1351136.181,448.617,141.549,138.723,135.625,0.986,0.978,0.923,0.455,2.000
34,29608.000,3832458.038,636.784,198.726,195.173,193.177,0.989,0.990,0.918,342.000,3416.000,1,[35],15520.000,1454458.639,459.446,144.180,141.487,139.669,0.986,0.987,0.924,0.524,0.000
35,34404.000,4800397.587,691.897,218.073,213.613,205.104,0.987,0.960,0.903,350.000,996.000,1,[37],16160.000,1545346.365,470.274,147.078,144.055,142.845,0.985,0.992,0.918,0.470,0.000
36,31380.000,4181606.952,659.127,207.548,202.683,197.189,0.988,0.973,0.908,364.000,238.000,1,[39],14716.000,1342914.827,445.789,140.656,137.721,136.060,0.987,0.988,0.931,0.469,2.000
37,30428.000,3992766.487,651.612,202.988,198.784,194.962,0.987,0.980,0.901,364.000,1208.000,1,[38],15216.000,1411934.498,456.617,142.773,140.324,138.071,0.984,0.984,0.917,0.500,0.000
38,29912.000,3891633.905,644.098,200.479,196.725,193.627,0.987,0.984,0.906,374.000,2432.000,1,[40],15600.000,1465718.933,458.960,146.123,142.658,139.252,0.987,0.976,0.931,0.522,2.000
39,61168.000,11380208.561,943.092,333.766,336.184,231.905,0.990,0.689,0.864,458.000,3812.000,2,"[41, 51]",15774.000,1490437.021,467.647,153.812,153.367,131.582,0.985,0.854,0.906,0.258,64.281
40,33980.000,4711930.348,683.612,214.084,209.917,206.149,0.990,0.982,0.914,412.000,2756.000,1,[43],15724.000,1483229.495,463.446,146.328,142.770,140.235,0.985,0.982,0.920,0.463,0.000
41,61192.000,11386906.960,944.264,333.808,334.596,232.969,0.991,0.696,0.862,434.000,520.000,2,"[44, 45]",15024.000,1385781.684,457.889,148.741,147.418,130.202,0.982,0.880,0.900,0.246,62.209
42,30696.000,4045632.966,651.612,202.485,199.908,195.532,0.987,0.978,0.908,456.000,3228.000,1,[46],15620.000,1468538.527,461.789,146.492,143.524,138.575,0.986,0.965,0.920,0.509,0.000
43,33284.000,4567905.074,679.411,212.198,207.542,204.221,0.988,0.984,0.906,506.000,1524.000,1,[47],16272.000,1561439.651,471.931,147.526,144.693,143.188,0.985,0.990,0.918,0.489,2.000
44,62436.000,11735900.213,953.401,342.415,344.278,231.136,0.991,0.671,0.863,554.000,3540.000,2,"[48, 57]",15454.000,1445437.837,463.730,150.988,150.468,131.457,0.984,0.871,0.903,0.248,66.603
45,29320.000,3776676.181,637.955,197.434,194.321,192.136,0.987,0.989,0.905,512.000,1964.000,1,[49],15532.000,1456145.837,461.103,145.121,141.954,139.322,0.985,0.981,0.918,0.530,2.000
46,31476.000,4200810.639,656.784,205.767,201.468,198.952,0.989,0.987,0.917,520.000,1742.000,1,[50],15276.000,1420294.073,459.446,142.688,139.937,139.002,0.982,0.993,0.909,0.485,2.828
47,33216.000,4553913.719,679.612,210.381,207.015,204.340,0.988,0.987,0.904,538.000,2590.000,1,[52],15972.000,1518457.890,467.931,146.328,143.514,141.709,0.983,0.987,0.917,0.481,2.000
48,29364.000,3785180.755,637.269,199.650,195.036,191.765,0.988,0.983,0.909,538.000,1316.000,1,[53],15124.000,1399148.475,455.446,143.388,140.506,137.060,0.985,0.975,0.916,0.515,2.000
49,62308.000,11699829.075,963.092,342.286,347.198,228.967,0.985,0.658,0.844,612.000,144.000,2,"[54, 63]",15352.000,1432139.931,461.889,149.248,148.248,132.784,0.984,0.891,0.904,0.246,64.946
