cLabel,cArea,cVolum,cPerim,cFeret,cMajor,cMinor,cSolid,cRound,cCircl,cY,cX,csRatio,csDist,c_sLabel
13,16764.000,1632789.799,478.759,151.288,148.445,143.794,0.986,0.969,0.919,100.000,2424.000,0.550,2.000,15
14,17468.000,1736715.079,486.759,153.114,150.550,147.739,0.987,0.981,0.926,104.000,1994.000,0.539,0.000,14
17,17752.000,1779240.821,489.588,154.777,151.458,149.233,0.989,0.985,0.931,132.000,2724.000,0.521,2.000,16
19,17652.000,1764227.870,491.245,154.156,151.151,148.697,0.985,0.984,0.919,172.000,1664.000,0.518,0.000,19
20,16984.000,1665036.552,483.245,150.785,147.942,146.177,0.984,0.988,0.914,178.000,1328.000,0.523,0.000,20
21,16400.000,1579899.903,473.103,148.930,146.005,143.039,0.986,0.980,0.921,184.000,734.000,0.555,0.000,21
22,15820.000,1496833.585,464.617,149.412,145.837,138.137,0.985,0.947,0.921,190.000,3668.000,0.532,2.000,22
23,17128.000,1686257.063,483.931,152.118,149.022,146.348,0.986,0.982,0.919,220.000,934.000,0.543,0.000,23
25,17492.000,1740295.524,491.931,158.405,153.647,145.023,0.984,0.943,0.908,232.000,376.000,0.575,0.000,26
26,18680.000,1920565.433,504.416,157.848,154.917,153.535,0.987,0.991,0.923,234.000,2218.000,0.495,2.000,25
27,28400.000,3600321.719,625.470,196.957,193.395,187.003,0.989,0.967,0.912,242.000,3222.000,0.561,2.000,24
28,17020.000,1670333.279,484.416,152.315,148.763,145.702,0.983,0.979,0.911,302.000,3444.000,0.554,0.000,28
29,17112.000,1683894.807,482.759,152.315,149.134,146.110,0.987,0.980,0.923,302.000,1498.000,0.519,0.000,27
30,17456.000,1734925.779,490.073,153.388,150.608,147.581,0.985,0.980,0.913,308.000,2422.000,0.550,0.000,29
32,17420.000,1729561.567,487.931,154.052,150.078,147.824,0.986,0.985,0.919,328.000,584.000,0.551,2.000,31
33,17336.000,1717066.629,487.245,154.052,150.342,146.853,0.985,0.977,0.918,338.000,2034.000,0.574,2.828,33
34,17588.000,1754641.859,490.073,157.848,154.349,145.094,0.986,0.940,0.920,342.000,1122.000,0.532,2.828,32
35,17800.000,1786462.086,493.588,155.048,151.687,149.417,0.985,0.985,0.918,364.000,2838.000,0.521,2.000,35
36,15888.000,1506494.835,466.274,146.014,142.336,142.142,0.985,0.998,0.918,390.000,3678.000,0.561,2.000,36
38,16480.000,1591474.232,473.103,148.432,145.180,144.547,0.987,0.996,0.925,396.000,1710.000,0.557,2.000,38
39,16760.000,1632205.443,477.103,151.327,148.958,143.277,0.987,0.962,0.925,396.000,3056.000,0.537,0.000,37
40,17384.000,1724202.896,488.416,153.310,150.061,147.507,0.985,0.983,0.916,428.000,334.000,0.561,2.000,39
41,17636.000,1761829.735,491.931,153.883,150.639,149.086,0.985,0.990,0.916,430.000,926.000,0.545,2.828,40
42,16772.000,1633958.722,486.759,160.562,156.948,136.762,0.985,0.867,0.890,432.000,1328.000,0.173,97.015,41
43,17492.000,1740295.524,489.588,153.114,150.491,147.990,0.986,0.983,0.917,454.000,2244.000,0.508,2.000,42
44,10592.000,820031.921,379.848,120.830,118.169,114.133,0.983,0.966,0.923,456.000,3830.000,0.620,2.000,45
45,17768.000,1781646.826,491.931,154.156,151.097,149.734,0.987,0.991,0.923,466.000,2588.000,0.515,2.000,43
