sLabel,sArea,sVolum,sPerim,sFeret,sMajor,sMinor,sSolid,sRound,sCircl,sY,sX,sCore,s_cLabel,s_cArea,s_cVolum,s_cPerim,s_cFeret,s_cMajor,s_cMinor,s_cSolid,s_cRound,s_cCircl,s_csRatio,s_csDist
16,29464.000,3804533.031,637.470,200.689,196.075,191.373,0.988,0.976,0.911,104.000,2256.000,1,[16],15364.000,1432584.500,458.274,146.014,142.103,137.679,0.985,0.969,0.919,0.521,2.828
17,56348.000,10061936.198,913.637,329.102,330.815,217.196,0.989,0.656,0.848,166.000,1826.000,2,"[17, 32]",15216.000,1411938.157,460.718,149.559,148.876,130.714,0.983,0.875,0.901,0.270,62.658
18,32988.000,4507106.073,676.926,210.219,206.214,203.714,0.987,0.988,0.905,116.000,3012.000,1,[18],16008.000,1523594.561,467.931,148.661,144.849,140.730,0.985,0.971,0.919,0.485,0.000
19,33508.000,4614095.302,680.098,212.349,208.355,204.808,0.989,0.983,0.910,122.000,3256.000,1,[19],16180.000,1548216.089,469.103,147.078,144.141,142.929,0.986,0.992,0.924,0.483,0.000
20,33680.000,4649667.790,683.269,211.632,208.016,206.192,0.987,0.991,0.907,128.000,1614.000,1,[20],15764.000,1488892.834,462.274,145.890,142.672,140.697,0.987,0.986,0.927,0.468,0.000
21,31656.000,4236896.510,661.754,206.495,201.906,199.663,0.988,0.989,0.908,142.000,2586.000,1,[21],15408.000,1438742.938,458.274,144.554,141.340,138.805,0.985,0.982,0.922,0.487,0.000
22,31172.000,4140099.718,660.583,204.088,200.564,197.920,0.986,0.987,0.898,152.000,520.000,1,[22],15184.000,1407482.789,456.617,142.394,139.632,138.471,0.983,0.992,0.915,0.487,2.000
23,32272.000,4361166.039,665.955,207.625,203.057,202.413,0.989,0.997,0.914,168.000,234.000,1,[23],16188.000,1549364.475,470.274,147.648,144.180,142.959,0.985,0.991,0.920,0.502,0.000
24,31116.000,4128948.296,653.269,204.841,201.062,197.078,0.989,0.980,0.916,172.000,3762.000,1,[24],15984.000,1520169.471,467.446,147.851,144.617,140.827,0.985,0.973,0.919,0.514,0.000
26,30336.000,3974671.802,643.612,202.425,199.475,193.654,0.990,0.971,0.920,178.000,2802.000,1,[27],15280.000,1420851.963,455.446,144.471,141.657,137.345,0.986,0.970,0.926,0.504,2.000
27,59408.000,10892591.031,925.803,327.341,327.970,230.823,0.990,0.703,0.871,220.000,3526.000,2,"[25, 34]",15630.000,1469978.325,467.387,156.688,155.443,128.808,0.984,0.824,0.899,0.263,60.112
28,30044.000,3917422.652,642.642,200.529,197.373,193.858,0.989,0.982,0.914,200.000,1012.000,1,[28],15544.000,1457833.687,459.446,145.437,141.935,139.472,0.987,0.982,0.925,0.517,2.000
29,34712.000,4865004.608,693.553,219.317,217.093,203.730,0.990,0.938,0.907,214.000,1222.000,1,[30],15912.000,1509909.632,465.103,147.851,144.665,140.053,0.987,0.968,0.924,0.458,0.000
30,32288.000,4364409.748,670.926,208.403,204.778,200.804,0.987,0.980,0.901,214.000,2032.000,1,[29],15772.000,1490026.364,463.446,147.092,143.762,139.706,0.986,0.972,0.923,0.488,0.000
31,32344.000,4375769.056,673.068,209.122,204.025,201.915,0.986,0.989,0.897,226.000,732.000,1,[31],15844.000,1500241.072,464.617,145.890,142.855,141.221,0.986,0.989,0.922,0.490,0.000
32,60004.000,11056918.383,937.436,337.740,338.449,226.000,0.991,0.667,0.858,308.000,2390.000,2,"[33, 43]",15398.000,1438050.412,463.304,148.934,148.530,132.543,0.982,0.888,0.901,0.257,61.863
33,61344.000,11429360.653,956.347,341.397,344.369,227.392,0.987,0.659,0.843,322.000,1416.000,2,"[35, 45]",15504.000,1452286.759,465.688,149.049,148.234,133.726,0.983,0.899,0.898,0.253,63.507
35,36496.000,5244833.456,707.897,221.883,216.058,215.107,0.990,0.995,0.915,312.000,3152.000,1,[38],16588.000,1607144.181,475.931,148.930,146.094,144.572,0.985,0.990,0.920,0.455,2.000
36,31944.000,4294847.484,663.127,207.239,202.063,201.338,0.988,0.996,0.913,312.000,388.000,1,[39],15672.000,1475877.917,461.103,144.997,141.844,140.681,0.987,0.992,0.926,0.491,0.000
37,20516.000,2210562.691,532.215,168.618,162.370,160.942,0.985,0.991,0.910,300.000,2196.000,1,[37],10312.000,787731.399,373.505,118.474,115.889,113.318,0.983,0.978,0.929,0.503,0.000
38,61028.000,11341160.761,951.744,343.639,347.059,224.254,0.990,0.645,0.847,392.000,2614.000,2,"[40, 54]",16058.000,1530759.792,472.659,150.831,149.299,137.264,0.983,0.917,0.903,0.263,65.803
39,30440.000,3995128.682,646.441,202.869,199.894,193.901,0.989,0.970,0.915,344.000,2940.000,1,[41],15248.000,1416390.891,457.789,143.402,141.023,137.695,0.983,0.976,0.914,0.501,2.000
40,35212.000,4970497.275,695.897,217.816,212.557,210.973,0.988,0.992,0.914,374.000,174.000,1,[42],16948.000,1659745.437,479.931,151.605,148.151,145.656,0.987,0.983,0.925,0.481,2.828
42,57000.000,10237079.684,890.891,276.926,271.214,267.709,0.991,0.987,0.902,424.000,1644.000,1,[49],28164.000,3555537.830,621.470,193.494,190.779,187.971,0.989,0.985,0.916,0.494,2.000
43,24524.000,2889021.417,581.671,181.240,177.548,175.963,0.986,0.991,0.911,390.000,3712.000,1,[46],12260.000,1021173.428,408.333,128.950,125.649,124.256,0.985,0.989,0.924,0.500,0.000
44,31772.000,4260206.308,659.127,207.576,203.321,199.004,0.990,0.979,0.919,400.000,962.000,1,[47],15944.000,1514466.701,466.759,148.647,145.633,139.398,0.985,0.957,0.920,0.502,0.000
45,32404.000,4387950.660,668.098,208.806,206.151,200.170,0.989,0.971,0.912,402.000,1928.000,1,[48],15504.000,1452210.056,459.446,144.069,140.807,140.197,0.986,0.996,0.923,0.478,2.000
46,31024.000,4110649.881,654.441,205.767,202.863,194.762,0.988,0.960,0.910,428.000,3438.000,1,[51],15712.000,1481531.896,463.446,147.146,144.341,138.608,0.984,0.960,0.919,0.506,2.828
47,59884.000,11023766.428,942.891,337.360,338.181,225.668,0.990,0.667,0.846,448.000,706.000,2,"[50, 55]",15274.000,1420519.399,462.617,147.912,147.571,132.703,0.984,0.894,0.897,0.255,64.560
48,32348.000,4376580.811,666.926,208.355,204.390,201.569,0.989,0.986,0.914,436.000,1186.000,1,[52],15460.000,1446032.436,460.617,144.139,141.643,138.981,0.984,0.981,0.916,0.478,0.000
49,13476.000,1176807.164,440.759,135.558,132.091,130.035,0.977,0.983,0.872,434.000,3856.000,1,[53],6484.000,392760.957,297.220,96.540,92.380,89.450,0.977,0.967,0.922,0.481,0.000
50,63028.000,11903209.840,1048.029,353.910,354.760,228.900,0.967,0.638,0.721,544.000,2128.000,2,"[56, 65]",15774.000,1490333.160,467.588,151.487,150.399,134.187,0.986,0.889,0.907,0.250,67.106
51,33384.000,4588506.569,678.926,210.381,206.664,205.702,0.989,0.995,0.910,504.000,2804.000,1,[57],15884.000,1505925.953,465.588,146.328,143.143,141.288,0.985,0.987,0.921,0.476,0.000
52,32920.000,4493177.134,670.926,209.571,206.137,203.353,0.990,0.986,0.919,506.000,3246.000,1,[58],15564.000,1460648.219,459.446,144.997,141.459,140.090,0.987,0.990,0.927,0.473,0.000
53,29996.000,3908038.357,641.955,202.475,199.789,191.176,0.989,0.957,0.915,510.000,332.000,1,[59],15668.000,1475312.916,463.931,147.851,144.859,137.725,0.984,0.951,0.915,0.522,2.000
55,30428.000,3992766.487,647.127,202.712,197.791,195.936,0.989,0.990,0.913,522.000,3038.000,1,[61],14836.000,1359374.244,448.617,141.549,138.615,136.281,0.986,0.983,0.926,0.488,0.000
57,31016.000,4109059.995,655.612,204.000,199.573,197.918,0.988,0.992,0.907,582.000,132.000,1,[62],15828.000,1497969.127,463.446,146.014,142.898,141.037,0.987,0.987,0.926,0.510,2.000
58,31404.000,4186405.124,657.269,205.913,201.075,198.912,0.988,0.989,0.913,588.000,1426.000,1,[63],14884.000,1365976.703,450.960,141.421,138.464,136.869,0.984,0.988,0.920,0.474,0.000
59,34544.000,4829728.721,688.583,214.709,211.118,208.364,0.989,0.987,0.916,598.000,1044.000,1,[64],16632.000,1613542.893,475.931,149.586,146.417,144.676,0.986,0.988,0.923,0.481,2.000
60,34740.000,4870892.237,693.754,216.453,212.522,208.230,0.988,0.979,0.907,602.000,2340.000,1,[66],15836.000,1499104.956,465.103,145.890,142.590,141.414,0.985,0.992,0.920,0.456,2.000
61,55752.000,9902719.499,878.406,273.130,270.511,262.447,0.991,0.970,0.908,630.000,1834.000,1,[68],27576.000,3444773.772,615.127,192.510,189.016,185.772,0.989,0.983,0.916,0.495,0.000
62,34208.000,4759434.184,686.926,214.979,211.006,206.451,0.989,0.978,0.911,646.000,2636.000,1,[69],16068.000,1532168.519,469.103,146.711,143.649,142.423,0.985,0.991,0.918,0.470,2.000
63,63452.000,12023523.972,962.690,342.468,340.941,237.041,0.991,0.695,0.860,696.000,3692.000,2,"[70, 76]",15812.000,1497148.717,472.517,154.670,154.799,131.329,0.982,0.840,0.889,0.249,64.632
64,33136.000,4537471.629,676.098,210.419,206.802,204.042,0.989,0.987,0.911,676.000,750.000,1,[71],15724.000,1483229.495,463.446,145.231,142.433,140.561,0.985,0.987,0.920,0.475,2.000
66,32716.000,4451476.649,669.754,210.723,207.004,201.254,0.989,0.972,0.917,686.000,1238.000,1,[72],15896.000,1507632.814,466.274,147.648,144.908,139.675,0.984,0.964,0.919,0.486,2.000
67,32856.000,4480080.679,673.269,209.619,205.945,203.160,0.988,0.986,0.911,690.000,2910.000,1,[73],15832.000,1498537.005,465.103,146.328,143.622,140.359,0.985,0.977,0.920,0.482,2.000
68,35348.000,4999321.536,699.411,220.518,217.908,206.562,0.989,0.948,0.908,710.000,1604.000,1,[74],16212.000,1552811.336,469.103,148.647,146.164,141.226,0.987,0.966,0.926,0.459,2.000
69,61684.000,11524513.288,946.808,338.112,342.636,229.764,0.991,0.669,0.865,728.000,3188.000,2,"[75, 77]",16014.000,1524557.176,471.404,154.075,153.868,133.438,0.985,0.861,0.906,0.260,63.506
70,64584.000,12346708.918,977.117,348.832,351.076,234.409,0.990,0.667,0.850,850.000,2410.000,2,"[79, 91]",15882.000,1505764.107,472.073,151.763,152.027,133.881,0.984,0.875,0.896,0.246,65.370
71,64480.000,12316897.959,978.087,351.932,355.073,231.507,0.990,0.651,0.847,852.000,3486.000,2,"[80, 92]",15640.000,1471773.149,468.073,149.972,149.324,134.134,0.984,0.894,0.897,0.243,67.676
72,46024.000,7427460.345,829.352,296.985,299.072,196.538,0.988,0.655,0.841,858.000,1086.000,2,"[78, 90]",11446.000,948212.923,395.605,134.127,132.200,109.391,0.982,0.814,0.898,0.249,59.844
