sLabel,sArea,sVolum,sPerim,sFeret,sMajor,sMinor,sSolid,sRound,sCircl,sY,sX,sCore,s_cLabel,s_cArea,s_cVolum,s_cPerim,s_cFeret,s_cMajor,s_cMinor,s_cSolid,s_cRound,s_cCircl,s_csRatio,s_csDist
13,59760.000,10989544.286,945.318,339.187,341.155,223.392,0.990,0.654,0.840,198.000,812.000,2,"[15, 22]",15746.000,1486512.220,469.002,152.479,151.239,133.162,0.983,0.877,0.899,0.263,65.513
14,27508.000,3432039.865,615.813,194.010,190.556,183.834,0.988,0.965,0.912,198.000,1438.000,1,[16],15440.000,1443227.330,458.960,146.123,142.481,138.023,0.985,0.968,0.921,0.561,2.000
15,31484.000,4202412.270,660.098,205.222,201.026,199.442,0.988,0.992,0.908,204.000,1728.000,1,[18],16000.000,1522452.579,467.446,147.201,144.713,140.794,0.986,0.973,0.920,0.508,2.000
16,28668.000,3651404.059,643.813,201.693,195.756,186.579,0.984,0.953,0.869,196.000,2184.000,1,[17],15324.000,1426993.567,456.617,146.123,142.766,136.714,0.986,0.957,0.924,0.535,0.000
17,33544.000,4621533.169,683.612,213.214,209.078,204.370,0.988,0.977,0.902,224.000,202.000,1,[19],16120.000,1539612.245,470.759,146.328,143.452,143.088,0.983,0.997,0.914,0.481,0.000
18,32244.000,4355491.485,669.269,209.313,206.660,198.731,0.988,0.961,0.905,228.000,1980.000,1,[20],16100.000,1536747.850,469.103,147.472,144.546,141.820,0.985,0.981,0.919,0.499,2.000
19,31772.000,4260206.308,663.612,209.093,205.848,196.588,0.988,0.955,0.907,230.000,2572.000,1,[21],16776.000,1634543.287,478.274,151.539,147.867,144.478,0.986,0.977,0.922,0.528,0.000
20,30992.000,4104291.567,648.299,206.155,200.317,197.098,0.990,0.983,0.927,230.000,1080.000,1,[23],15744.000,1486060.265,463.446,146.014,142.765,140.425,0.985,0.984,0.921,0.508,2.000
21,32224.000,4351439.739,668.098,207.162,202.757,202.380,0.987,0.998,0.907,298.000,556.000,1,[24],16072.000,1532740.686,467.446,147.078,144.336,141.791,0.987,0.982,0.924,0.499,0.000
22,30584.000,4023511.322,648.299,204.949,199.340,195.433,0.989,0.980,0.914,306.000,1272.000,1,[25],15704.000,1480400.524,462.274,144.734,141.911,140.907,0.986,0.993,0.923,0.513,0.000
24,31436.000,4192805.539,658.441,206.155,202.116,198.056,0.988,0.980,0.911,342.000,2374.000,1,[27],16012.000,1524165.659,467.446,146.123,143.380,142.206,0.985,0.992,0.921,0.509,2.828
25,32688.000,4445763.175,671.612,209.246,205.359,202.706,0.988,0.987,0.911,346.000,1576.000,1,[28],16008.000,1523594.561,466.274,147.078,144.038,141.519,0.987,0.982,0.925,0.490,0.000
26,30552.000,4017198.282,652.299,203.735,198.219,196.308,0.986,0.990,0.902,360.000,358.000,1,[29],15804.000,1494563.362,464.617,145.602,143.194,140.536,0.986,0.981,0.920,0.517,0.000
27,33876.000,4690314.738,681.754,212.659,208.173,207.226,0.990,0.995,0.916,382.000,2756.000,1,[30],17864.000,1796105.593,492.416,155.872,153.296,148.382,0.988,0.968,0.926,0.527,2.828
28,60468.000,11185417.704,953.318,338.615,345.695,223.225,0.990,0.644,0.836,418.000,1882.000,2,"[31, 35]",15970.000,1518404.143,473.588,152.938,152.513,134.245,0.985,0.875,0.895,0.264,65.325
29,31600.000,4225658.772,659.612,206.320,202.926,198.311,0.989,0.977,0.913,392.000,918.000,1,[32],16012.000,1524165.659,465.103,146.711,143.221,142.356,0.988,0.994,0.930,0.507,2.000
30,29252.000,3763545.296,636.098,199.970,196.254,189.883,0.987,0.967,0.908,426.000,718.000,1,[33],14928.000,1372038.316,449.789,142.225,138.537,137.206,0.987,0.990,0.927,0.510,2.000
31,58100.000,10534841.329,920.867,334.389,339.143,218.521,0.991,0.643,0.861,498.000,2556.000,2,"[34, 42]",15554.000,1459283.803,463.161,151.510,151.537,131.595,0.986,0.863,0.911,0.268,64.031
32,33832.000,4681179.651,682.926,214.009,208.461,206.721,0.989,0.991,0.912,452.000,2152.000,1,[36],16756.000,1631621.156,477.103,151.288,148.233,143.941,0.987,0.971,0.925,0.495,0.000
33,33024.000,4514486.032,674.441,209.724,205.241,204.917,0.989,0.998,0.912,476.000,1414.000,1,[37],16728.000,1627533.101,478.759,149.907,147.111,144.789,0.984,0.984,0.917,0.507,0.000
34,34496.000,4819665.624,694.441,218.403,212.739,206.525,0.988,0.970,0.899,488.000,1170.000,1,[38],16708.000,1624615.155,475.931,150.479,146.887,144.832,0.987,0.986,0.927,0.484,2.000
35,30188.000,3945620.508,644.299,203.194,198.974,193.211,0.988,0.971,0.914,528.000,1678.000,1,[39],15120.000,1398593.440,455.931,142.618,139.249,138.266,0.982,0.993,0.914,0.501,0.000
