cLabel,cArea,cVolum,cPerim,cFeret,cMajor,cMinor,cSolid,cRound,cCircl,cY,cX,csRatio,csDist,c_sLabel
15,15240.000,1415276.354,454.960,143.736,141.306,137.339,0.987,0.972,0.925,102.000,1784.000,0.493,2.000,13
16,15756.000,1487759.590,463.446,145.121,142.302,140.984,0.986,0.991,0.922,114.000,2464.000,0.485,0.000,14
17,16216.000,1553386.061,470.274,147.201,144.921,142.474,0.986,0.983,0.921,116.000,2678.000,0.493,2.828,15
18,17100.000,1682123.840,482.759,151.420,148.389,146.727,0.986,0.989,0.922,126.000,3266.000,0.462,2.000,16
19,16384.000,1577588.418,472.416,147.959,145.215,143.659,0.987,0.989,0.923,160.000,178.000,0.453,0.000,17
20,15632.000,1470231.149,464.818,151.539,150.592,132.674,0.984,0.878,0.909,168.000,1348.000,0.249,70.257,18
21,15840.000,1499672.978,465.103,146.860,144.396,139.678,0.986,0.967,0.920,194.000,3474.000,0.492,0.000,19
22,16372.000,1575855.545,474.759,147.648,144.754,144.012,0.984,0.995,0.913,200.000,1978.000,0.467,0.000,20
23,16760.000,1632205.443,478.274,149.693,146.572,145.600,0.985,0.993,0.921,220.000,934.000,0.453,0.000,21
24,15816.000,1496265.922,466.759,147.959,143.896,139.967,0.984,0.973,0.912,228.000,718.000,0.483,0.000,22
26,17168.000,1692167.529,485.588,151.182,147.972,147.738,0.985,0.998,0.915,240.000,2276.000,0.449,0.000,24
27,16652.000,1616454.198,489.789,157.201,158.235,136.087,0.982,0.847,0.872,238.000,2862.000,0.246,63.561,25
28,15188.000,1408038.996,453.789,144.222,141.276,136.906,0.986,0.969,0.927,268.000,1142.000,0.485,0.000,26
29,15884.000,1505925.953,466.274,146.820,143.595,140.859,0.985,0.981,0.918,274.000,416.000,0.473,2.000,27
30,15716.000,1482097.690,463.931,146.123,143.098,139.838,0.985,0.977,0.918,280.000,3800.000,0.456,0.000,28
31,16192.000,1549938.774,473.990,155.795,155.228,133.410,0.985,0.856,0.906,302.000,1362.000,0.258,64.498,18
32,15828.000,1497969.127,466.274,146.123,143.661,140.291,0.984,0.976,0.915,312.000,1572.000,0.487,0.000,29
33,16024.000,1525879.382,466.274,147.078,143.701,141.989,0.986,0.988,0.926,320.000,2548.000,0.493,2.000,30
34,15504.000,1452210.056,460.132,146.014,143.056,138.021,0.986,0.965,0.920,328.000,3108.000,0.523,2.828,32
35,16224.000,1554535.724,477.789,153.883,153.843,135.056,0.984,0.873,0.893,362.000,2892.000,0.240,64.031,25
38,15784.000,1491727.200,473.304,152.643,153.521,132.217,0.982,0.853,0.885,416.000,3542.000,0.257,59.228,35
39,16740.000,1629284.706,475.931,150.053,146.850,145.152,0.988,0.988,0.929,412.000,1926.000,0.473,2.000,34
40,8000.000,538268.271,330.392,105.603,102.748,99.171,0.979,0.965,0.921,416.000,1748.000,0.575,8.944,37
41,15952.000,1515606.683,467.446,146.711,143.420,141.639,0.985,0.987,0.917,436.000,3296.000,0.515,0.000,36
42,15308.000,1424759.235,463.446,148.189,147.255,132.977,0.981,0.899,0.896,440.000,3662.000,0.249,63.151,35
43,16360.000,1574123.307,475.245,149.466,147.215,141.836,0.984,0.961,0.910,458.000,980.000,0.249,70.937,38
44,16864.000,1647421.352,479.245,150.053,146.928,146.150,0.986,0.995,0.923,474.000,2698.000,0.465,2.828,39
45,15108.000,1396928.779,454.759,143.178,140.671,136.769,0.984,0.972,0.918,498.000,3870.000,0.474,0.000,40
46,16988.000,1665624.801,480.416,150.785,147.859,146.292,0.987,0.989,0.925,530.000,1624.000,0.458,2.828,41
47,15896.000,1507632.814,473.872,153.388,154.880,132.278,0.984,0.844,0.890,546.000,1084.000,0.241,65.299,38
48,16996.000,1666801.505,482.759,152.971,150.122,144.239,0.985,0.960,0.916,582.000,2968.000,0.512,0.000,42
49,16116.000,1539039.224,475.730,154.829,154.644,133.662,0.981,0.858,0.895,588.000,798.000,0.250,62.769,44
50,15772.000,1490026.364,465.588,145.382,142.487,140.942,0.984,0.989,0.914,592.000,290.000,0.462,2.000,43
51,16060.000,1531024.398,469.103,147.959,144.654,141.367,0.985,0.977,0.917,596.000,582.000,0.463,2.000,45
