sLabel,sArea,sVolum,sPerim,sFeret,sMajor,sMinor,sSolid,sRound,sCircl,sY,sX,sCore,s_cLabel,s_cArea,s_cVolum,s_cPerim,s_cFeret,s_cMajor,s_cMinor,s_cSolid,s_cRound,s_cCircl,s_csRatio,s_csDist
12,33872.000,4689484.031,686.926,213.242,209.438,206.187,0.986,0.983,0.902,110.000,140.000,1,[10],17360.000,1720633.529,485.588,153.805,150.946,146.435,0.987,0.970,0.925,0.513,2.000
13,32592.000,4426192.702,669.269,208.403,204.137,203.307,0.989,0.996,0.914,110.000,1402.000,1,[11],16936.000,1657982.979,480.416,150.864,147.734,145.970,0.986,0.988,0.922,0.520,0.000
14,36100.000,5159701.805,705.754,220.045,215.935,212.936,0.989,0.986,0.911,124.000,838.000,1,[12],17468.000,1736715.079,489.588,152.971,150.244,148.037,0.984,0.985,0.916,0.484,0.000
15,34832.000,4890254.009,699.210,215.342,211.521,209.729,0.986,0.991,0.895,126.000,3820.000,1,[13],15972.000,1518457.890,466.274,147.078,144.241,140.990,0.987,0.977,0.923,0.459,0.000
16,39232.000,5845537.797,735.210,228.569,225.034,222.031,0.990,0.986,0.912,164.000,2376.000,1,[15],19164.000,1995689.827,512.215,160.462,157.554,154.879,0.987,0.983,0.918,0.488,0.000
19,35548.000,5041810.954,698.926,217.816,214.065,211.492,0.989,0.988,0.914,184.000,1686.000,1,[17],16424.000,1583369.244,473.103,148.930,145.763,143.466,0.986,0.984,0.922,0.462,0.000
20,35344.000,4998472.971,698.240,219.272,214.077,210.275,0.989,0.982,0.911,190.000,2894.000,1,[18],17380.000,1723607.830,487.931,153.114,150.379,147.174,0.985,0.979,0.917,0.492,0.000
21,31400.000,4185605.301,656.985,207.548,202.066,197.994,0.989,0.979,0.914,198.000,546.000,1,[19],16392.000,1578744.019,473.103,149.466,146.417,142.549,0.986,0.974,0.920,0.522,4.472
22,38388.000,5657922.957,727.210,226.106,221.899,220.299,0.989,0.993,0.912,206.000,1046.000,1,[20],17872.000,1797312.248,496.902,154.738,151.167,150.542,0.984,0.996,0.910,0.466,0.000
23,35692.000,5072477.470,703.210,218.660,214.627,211.777,0.989,0.987,0.907,208.000,3112.000,1,[22],16452.000,1587420.014,474.274,149.050,146.323,143.162,0.985,0.978,0.919,0.461,2.000
24,34480.000,4816312.813,691.411,216.832,212.012,207.124,0.989,0.977,0.906,208.000,1968.000,1,[21],16420.000,1582790.844,473.103,147.959,145.048,144.155,0.987,0.994,0.922,0.476,0.000
