sLabel,sArea,sVolum,sPerim,sFeret,sMajor,sMinor,sSolid,sRound,sCircl,sY,sX,sCore,s_cLabel,s_cArea,s_cVolum,s_cPerim,s_cFeret,s_cMajor,s_cMinor,s_cSolid,s_cRound,s_cCircl,s_csRatio,s_csDist
17,34044.000,4725248.719,690.039,213.588,208.457,208.011,0.988,0.998,0.898,118.000,808.000,1,[14],16532.000,1599012.634,474.759,149.050,146.090,144.091,0.986,0.986,0.922,0.486,0.000
18,90908.000,20618969.451,1161.200,403.633,398.935,294.059,0.989,0.727,0.847,196.000,3452.000,3,"[15, 20, 30]",15925.333,1512135.639,476.751,156.351,154.687,132.700,0.983,0.848,0.881,0.175,87.342
19,55416.000,9813333.588,891.661,305.005,305.395,231.256,0.988,0.757,0.876,170.000,1736.000,2,"[16, 24]",15584.000,1463818.935,476.044,164.471,165.010,121.466,0.977,0.729,0.864,0.281,55.317
20,31828.000,4271474.562,664.098,208.096,203.820,198.860,0.987,0.975,0.907,144.000,1236.000,1,[18],16196.000,1550513.145,471.931,148.297,145.618,141.622,0.984,0.973,0.914,0.509,2.000
21,30548.000,4016409.385,656.299,209.724,203.880,190.882,0.986,0.936,0.891,158.000,2962.000,1,[19],15656.000,1473618.344,461.789,152.315,148.664,134.157,0.988,0.902,0.923,0.513,0.000
22,61652.000,11515546.540,953.519,338.615,341.038,230.442,0.990,0.675,0.852,232.000,3162.000,2,"[21, 29]",15648.000,1472506.454,469.588,151.457,150.423,133.285,0.981,0.881,0.892,0.254,62.662
23,30368.000,3980962.498,648.784,201.792,198.107,195.248,0.988,0.985,0.907,190.000,394.000,1,[22],15684.000,1477573.354,462.274,144.997,141.434,141.213,0.986,0.998,0.922,0.516,2.828
24,34064.000,4729413.279,688.583,213.888,209.319,207.240,0.987,0.990,0.903,196.000,1490.000,1,[23],16596.000,1608306.953,477.103,150.586,147.473,143.293,0.985,0.972,0.916,0.487,2.000
25,32476.000,4402583.477,671.411,210.152,205.097,201.685,0.988,0.983,0.905,214.000,2762.000,1,[25],16496.000,1593792.476,474.274,148.930,145.763,144.097,0.985,0.989,0.922,0.508,0.000
26,30584.000,4023511.322,649.754,203.666,200.771,194.014,0.988,0.966,0.910,226.000,3710.000,1,[26],16636.000,1614125.014,474.759,152.801,149.619,141.596,0.987,0.946,0.927,0.544,2.828
27,35820.000,5099788.585,701.269,220.436,216.979,210.287,0.990,0.969,0.915,234.000,1042.000,1,[27],17712.000,1773230.553,493.588,155.641,151.972,148.414,0.985,0.976,0.914,0.494,0.000
29,31140.000,4133726.249,654.441,204.167,199.797,198.514,0.989,0.993,0.914,300.000,218.000,1,[31],15436.000,1442666.526,459.446,146.014,142.601,137.831,0.985,0.966,0.919,0.496,0.000
30,31556.000,4216836.102,657.470,206.737,202.910,198.044,0.990,0.976,0.917,322.000,2558.000,1,[32],15952.000,1515606.683,466.274,146.014,143.087,141.954,0.986,0.992,0.922,0.506,0.000
31,31512.000,4208019.580,657.269,205.456,202.610,198.090,0.989,0.977,0.917,330.000,826.000,1,[33],16104.000,1537320.587,468.617,147.567,144.490,141.927,0.986,0.982,0.922,0.511,0.000
32,31772.000,4260206.308,665.269,206.495,202.428,199.895,0.988,0.987,0.902,344.000,2146.000,1,[34],16176.000,1547642.002,471.931,147.201,144.389,142.656,0.984,0.988,0.913,0.509,0.000
33,33632.000,4639731.425,683.127,215.230,209.407,204.626,0.988,0.977,0.906,370.000,2906.000,1,[35],16336.000,1570660.737,470.274,147.959,144.841,143.606,0.987,0.991,0.928,0.486,0.000
34,33612.000,4635593.365,683.411,211.376,207.438,206.336,0.987,0.995,0.904,386.000,3854.000,1,[36],16804.000,1638637.199,478.759,150.053,146.746,145.810,0.985,0.994,0.921,0.500,0.000
35,32760.000,4460459.905,668.784,211.405,207.056,201.501,0.990,0.973,0.920,396.000,1944.000,1,[38],15948.000,1515036.656,465.789,146.014,142.877,142.129,0.986,0.995,0.924,0.487,2.000
36,64772.000,12400658.882,990.774,355.376,361.615,228.576,0.990,0.631,0.829,432.000,1680.000,2,"[37, 42]",15832.000,1499143.271,469.588,151.814,151.321,133.770,0.985,0.880,0.902,0.244,72.012
37,65996.000,12753818.172,981.921,346.347,349.707,240.523,0.991,0.687,0.860,466.000,418.000,2,"[39, 46]",16320.000,1568358.856,477.546,154.098,154.168,135.762,0.986,0.875,0.899,0.247,65.022
38,34296.000,4777811.440,686.926,214.009,210.462,207.522,0.988,0.986,0.913,436.000,2334.000,1,[40],17008.000,1668567.080,481.588,151.288,147.832,146.491,0.987,0.991,0.922,0.496,0.000
